time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.388,27.57,70.77,-2.69,0.66,0.79,0,2,0,10,0,0,0,0.00,0.00,0.00,
0.412,31.611,81.23700000000001,-2.79,-0.53,0.55,0,2,0,10,0,0,0,0.00,0.00,0.39,
0.436,35.3091,91.1577,-2.56,2.86,0.76,0,2,0,10,0,0,0,0.00,0.00,0.78,
0.459,38.68491,99.76377,-2.78,-0.44,0.84,0,2,0,10,0,0,0,0.00,0.00,0.78,
0.484,41.470491,107.050377,-2.69,-0.03,0.82,0,2,0,10,0,0,0,0.00,0.00,0.39,
0.507,43.7560491,113.2060377,-2.46,1.64,0.57,0,2,0,10,0,0,0,0.00,0.00,0.10,
0.531,45.78460491,118.42960377,-2.84,1.19,0.93,0,2,0,10,0,0,0,0.00,0.00,0.10,
0.556,47.526460491,122.884960377,-3.24,0.9,0.23,0,2,0,10,0,0,0,0.00,0.00,0.59,
0.579,48.8976460491,126.6154960377,-3.73,0.94,0.92,0,2,0,10,0,0,0,0.00,0.00,0.88,
0.603,50.16876460491,129.84154960376998,-3.56,1.77,1.58,0,2,0,10,0,0,0,0.00,0.00,0.69,
0.626,51.123876460491,132.531154960377,-3.14,-0.08,1.18,0,2,0,10,0,0,0,0.00,0.00,0.20,
0.651,51.930387646049105,134.8251154960377,-3.55,1.08,0.85,0,2,0,10,0,0,0,0.00,0.00,0.00,
0.674,52.64103876460491,136.79151154960377,-3.37,1.31,1.38,0,2,0,10,0,0,0,0.00,0.00,0.29,
0.698,53.31510387646049,138.4011511549604,-3.86,0.18,1.6,0,2,0,10,0,0,0,0.00,0.00,0.69,
0.722,53.76951038764605,139.85811511549605,-4.06,1.76,0.99,0,2,0,10,0,0,0,0.00,0.00,0.78,
0.746,54.09395103876461,141.22781151154962,-4.19,1.72,0.89,0,2,0,10,0,0,0,0.00,0.00,0.69,
0.77,54.594395103876465,142.34578115115497,-3.21,0.48,0.74,0,2,0,10,0,0,0,0.00,0.00,0.20,
0.794,55.00443951038765,143.2585781151155,-2.53,-0.08,0.92,0,2,0,10,0,0,0,0.00,0.00,0.49,
