time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.433,40.81,92.37,-2.5,1.11,1.39,0,0,0,10,0,0,0,0.00,0.00,0.10,
0.456,44.122,99.90299999999999,-2.92,1.15,3.05,0,0,0,10,0,0,0,0.00,0.10,0.49,
0.481,47.0542,107.01930000000002,-3.55,-0.5,2.15,0,0,0,10,0,0,0,0.00,0.20,0.78,
0.504,49.75942,113.20293000000001,-4.01,-0.2,0.75,0,0,0,10,0,0,0,0.00,0.20,0.59,
0.528,52.099942,118.51029299999999,-3.93,1.24,-0.39,0,0,0,10,0,0,0,0.00,0.20,0.10,
0.551,54.0349942,122.9830293,-3.8,1.81,-0.4,0,0,0,10,0,0,0,0.00,0.20,0.00,
0.576,55.668499419999996,126.86830292999998,-4.22,1.92,0.71,0,0,0,10,0,0,0,0.00,0.29,0.39,
0.6,56.848849941999994,130.163830293,-3.95,0.95,1.39,0,0,0,10,0,0,0,0.00,0.20,0.69,
0.623,57.8038849942,132.9773830293,-3.28,1.22,0.41,0,0,0,10,0,0,0,0.00,0.29,0.78,
0.647,58.79038849942,135.31973830293,-3.17,0.79,-0.21,0,0,0,10,0,0,0,0.00,0.29,0.49,
0.671,59.564038849942,137.281973830293,-3.34,0.42,0.72,0,0,0,10,0,0,0,0.00,0.29,0.00,
0.695,60.370403884994204,138.9901973830293,-2.44,1.42,0.77,0,0,0,10,0,0,0,0.00,0.39,0.10,
0.718,60.86504038849942,140.54701973830294,-3.07,0.82,1.47,0,0,0,10,0,0,0,0.00,0.39,0.49,
0.742,61.130504038849935,141.80970197383027,-1.69,0.27,0.51,0,0,0,10,0,0,0,0.00,0.39,0.78,
0.765,61.47205040388499,143.00697019738303,-1.07,0.69,1.21,0,0,0,10,0,0,0,0.00,0.39,0.78,
0.79,61.7132050403885,143.91869701973832,-0.72,0.1,1.89,0,0,0,10,0,0,0,0.00,0.39,0.29,
0.814,62.034320504038845,144.60386970197385,-1.02,-0.05,1.78,0,0,0,10,0,0,0,0.00,0.39,0.00,
0.837,62.327432050403885,145.16738697019738,-1.79,-0.13,1.89,0,0,0,10,0,0,0,0.00,0.49,0.20,
0.861,62.446743205040384,145.69173869701976,-1.88,1.16,1.82,0,0,0,10,0,0,0,0.00,0.88,0.59,
0.884,62.602674320504036,146.068173869702,-1.11,0.04,1.11,0,0,0,10,0,0,0,0.00,0.39,0.78,
0.909,62.92426743205041,146.3758173869702,-2.58,-1.42,1.44,0,0,0,10,0,0,0,0.00,0.00,0.59,
0.932,63.27142674320505,146.523581738697,-3.35,0.12,1.73,0,0,0,10,0,0,0,0.00,0.10,0.20,
0.956,63.4591426743205,146.7453581738697,-4.34,0.58,1.79,0,0,0,10,0,0,0,0.00,0.00,0.10,
0.979,63.65791426743205,146.84853581738696,-5.29,0.24,1.69,0,0,0,10,0,0,0,0.00,0.00,0.59,
1.003,64.1187914267432,146.99385358173868,-4.37,1.03,0.21,0,0,0,10,0,0,0,0.00,0.00,0.98,
1.028,64.41687914267432,147.13438535817386,-6.02,1.04,0.63,0,0,0,10,0,0,0,0.00,0.00,0.98,
1.051,64.42868791426744,147.25643853581738,-5.93,1.77,0.95,0,0,0,10,0,0,0,0.00,0.00,0.49,
1.075,64.54686879142675,147.47564385358174,-5.75,2.02,0.82,0,0,0,10,0,0,0,0.00,0.00,0.20,
1.098,64.53168687914268,147.60556438535818,-5.88,1.12,0.66,0,0,0,10,0,0,0,0.00,0.10,0.20,
1.122,64.44916868791427,147.80755643853584,-5.11,1.39,0.06,0,0,0,10,0,0,0,0.00,0.10,0.78,
1.146,64.37791686879143,147.98975564385358,-4.81,1.3,0.56,0,0,0,10,0,0,0,0.10,0.00,0.78,
1.17,64.19079168687914,148.04397556438536,-4.66,0.76,0.67,0,0,0,10,0,0,0,0.00,0.10,0.78,
