time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.352,58.15,13.65,-2.0,-3.0,-1.0,0,2,0,0,0,0,0,0.39,0.29,0.00,
0.365,66.799,15.738000000000001,-2.0,0.0,-1.0,0,2,0,0,0,0,0,0.29,0.69,0.00,
0.378,75.2059,17.4228,-2.0,0.0,-1.0,0,2,0,0,0,0,0,0.29,0.29,0.00,
0.392,82.36458999999999,18.79728,-2.0,2.0,-2.0,0,2,0,0,0,0,0,0.39,0.00,0.00,
0.405,88.696459,19.825728,-2.0,2.0,-2.0,0,2,0,0,0,0,0,0.29,0.00,0.00,
0.418,93.8746459,20.9185728,-2.0,0.0,-4.0,0,2,0,0,0,0,0,0.10,0.69,0.00,
0.432,98.82046459,21.71185728,-2.0,0.0,-4.0,0,2,0,0,0,0,0,0.10,0.00,0.00,
0.445,102.82504645899999,22.520185728,-1.0,0.0,-3.0,0,2,0,0,0,0,0,0.10,0.69,0.00,
0.458,106.1955046459,23.1680185728,-1.0,1.0,-2.0,0,2,0,0,0,0,0,0.10,0.00,0.00,
0.473,108.80055046459,23.73680185728,-1.0,2.0,0.0,0,2,0,0,0,0,0,0.10,0.00,0.00,
0.486,111.03205504645899,24.153680185728,0.0,0.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.498,112.8572055046459,24.618368018572802,0.0,0.0,0.0,0,2,0,0,0,0,0,0.00,0.69,0.00,
0.512,114.3447205504646,24.997836801857282,0.0,0.0,-1.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.525,115.41147205504646,25.503783680185727,0.0,-1.0,-1.0,0,2,0,0,0,0,0,0.00,0.98,0.00,
0.539,116.25614720550465,25.959378368018577,0.0,-1.0,0.0,0,2,0,0,0,0,0,0.00,0.98,0.00,
0.552,116.82661472055047,26.517937836801856,0.0,-1.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.566,117.51366147205505,26.807793783680182,-1.0,-1.0,0.0,0,2,0,0,0,0,0,0.00,0.59,0.00,
0.579,117.9783661472055,27.05277937836802,-1.0,0.0,0.0,0,2,0,0,0,0,0,0.00,0.39,0.00,
0.592,118.69983661472055,27.0952779378368,0.0,-1.0,-1.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.606,119.18598366147205,27.24352779378368,0.0,-2.0,-2.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.619,119.4865983661472,27.43835277937837,0.0,-1.0,-2.0,0,2,0,0,0,0,0,0.00,1.08,0.00,
0.632,119.82265983661472,27.628835277937835,-1.0,-1.0,-1.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.646,120.46826598366147,27.611883527793783,-3.0,-2.0,-1.0,0,2,0,0,0,0,0,0.00,0.78,0.00,
0.659,120.92882659836614,27.55618835277938,-2.0,-1.0,-1.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.673,121.29888265983661,27.370618835277938,-2.0,-1.0,-2.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.687,121.54288826598365,27.199061883527794,-3.0,-1.0,-3.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.7,121.72928882659836,27.12790618835278,-3.0,-2.0,-3.0,0,2,0,0,0,0,0,0.00,0.20,0.00,
0.713,121.97292888265983,27.20179061883528,-4.0,-3.0,-2.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.727,122.06929288826598,27.33517906188353,-4.0,-1.0,-1.0,0,2,0,0,0,0,0,0.00,0.78,0.00,
0.741,122.1689292888266,27.492517906188354,-3.0,-1.0,0.0,0,2,0,0,0,0,0,0.00,0.88,0.00,
0.754,122.19689292888266,27.634251790618833,-1.0,1.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.768,122.60468929288827,27.486425179061882,0.0,0.0,0.0,0,2,0,0,0,0,0,0.00,0.39,0.00,
0.781,122.87946892928882,27.38164251790619,0.0,0.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.793,123.14994689292888,27.335164251790616,0.0,0.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.806,123.39299468929289,27.402516425179062,0.0,0.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.82,123.6512994689293,27.508251642517905,-1.0,0.0,0.0,0,2,0,0,0,0,0,0.00,0.88,0.00,
