time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.356,59.55,13.79,2.0,-1.0,-2.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.369,68.04599999999999,15.878,0.0,2.0,0.0,0,2,0,0,0,0,0,0.00,1.28,0.00,
0.382,76.1406,17.724800000000002,-3.0,3.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.396,83.33106,19.16048,-6.0,3.0,0.0,0,2,0,0,0,0,0,0.10,0.59,0.00,
0.409,90.026106,20.168048000000002,-7.0,0.0,-1.0,0,2,0,0,0,0,0,0.00,0.20,0.00,
0.422,95.6456106,21.2048048,-4.0,-2.0,-5.0,0,2,0,0,0,0,0,0.10,0.00,0.00,
0.436,100.25756106,22.28048048,0.0,-2.0,-6.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.449,103.850756106,23.234048048,0.0,0.0,-3.0,0,2,0,0,0,0,0,0.10,0.49,0.00,
0.463,106.9370756106,24.0494048048,0.0,0.0,0.0,0,2,0,0,0,0,0,0.00,0.78,0.00,
0.477,109.67570756106,24.57194048048,-4.0,0.0,1.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.49,111.63257075610599,24.984194048048,-7.0,-1.0,1.0,0,2,0,0,0,0,0,0.00,0.59,0.00,
0.503,113.4392570756106,25.3944194048048,-7.0,-2.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.517,115.24892570756106,25.76844194048048,-4.0,-3.0,-2.0,0,2,0,0,0,0,0,0.10,0.00,0.00,
0.531,116.69889257075612,26.300844194048047,0.0,-3.0,-4.0,0,2,0,0,0,0,0,0.10,0.00,0.00,
0.544,117.64488925707562,26.858084419404804,2.0,0.0,-3.0,0,2,0,0,0,0,0,0.20,0.00,0.00,
0.558,118.36948892570756,27.237808441940484,3.0,4.0,0.0,0,2,0,0,0,0,0,0.20,0.00,0.00,
0.571,119.10794889257076,27.455780844194045,2.0,6.0,2.0,0,2,0,0,0,0,0,0.10,0.00,0.00,
0.584,120.24379488925709,27.396578084419403,0.0,5.0,3.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.598,121.64437948892571,27.23765780844194,-1.0,1.0,1.0,0,2,0,0,0,0,0,0.00,0.49,0.00,
0.611,122.89143794889257,27.068765780844195,0.0,-2.0,-1.0,0,2,0,0,0,0,0,0.00,1.47,0.00,
0.624,123.54714379488927,27.19587657808442,1.0,-2.0,-3.0,0,2,0,0,0,0,0,0.10,1.08,0.00,
0.638,124.10771437948893,27.343587657808442,2.0,-2.0,-2.0,0,2,0,0,0,0,0,0.00,0.88,0.00,
0.652,124.43377143794889,27.556358765780843,0.0,0.0,-1.0,0,2,0,0,0,0,0,0.10,0.29,0.00,
