time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.433,80.37,103.62,-3.23,-3.28,3.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,
0.456,85.644,111.80099999999999,-4.2,-0.56,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29,
0.48,91.08539999999999,119.6841,-6.22,0.74,-0.62,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39,
0.503,96.85854,126.57441,-6.65,-4.04,-1.74,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,
0.527,102.55685399999999,132.627441,-5.89,-5.14,0.87,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.59,
0.551,106.02468540000001,137.5707441,-4.63,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,
0.575,109.22446854,141.77307441000002,-4.23,2.84,-0.78,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,
0.599,112.487446854,145.34330744100004,-4.05,-1.6,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,
0.622,114.98274468540001,148.5533307441,-2.53,-4.99,4.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,
0.646,116.58227446854,151.17833307441,-1.89,-2.03,1.18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,
0.669,118.605227446854,153.42983330744102,-2.32,0.51,-2.22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,
0.694,120.1575227446854,155.2299833307441,-2.23,-3.4,1.57,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.59,
0.717,120.90675227446853,156.70599833307443,-2.38,-0.55,1.72,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39,
0.741,122.10667522744684,158.04159983330746,-2.85,1.91,-0.79,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,
0.764,123.90066752274468,159.32715998333074,-3.85,-2.38,-0.79,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.59,
0.788,124.63806675227447,160.29271599833308,-4.39,-4.64,0.91,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,
0.812,124.64880667522745,160.97427159983332,-4.67,-1.55,1.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.59,
0.836,124.82088066752274,161.43842715998335,-6.03,3.05,-1.31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,
0.86,125.62108806675226,162.0878427159983,-7.21,-1.79,-0.56,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.59,
0.883,125.41310880667523,162.53978427159984,-5.33,-0.19,-1.86,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.59,
0.907,126.48131088066752,163.13397842715997,-2.8,-1.66,-1.72,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.69,
0.931,126.89413108806674,163.499397842716,-2.22,-3.58,1.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.59,
