time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.39,56.99,66.8,-7.71,-4.24,1.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.39,
0.413,65.108,76.67299999999999,-8.03,-4.92,1.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.39,
0.437,72.9848,86.0393,-5.7,0.38,0.55,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.49,
0.461,79.56848,94.13093,-7.83,-8.12,5.23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.49,
0.485,85.257848,100.916093,-8.2,-1.92,-2.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26,0.49,
0.508,90.3627848,106.8596093,-4.04,0.67,-1.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,0.39,
0.533,94.53627848,111.87296093,-2.99,-0.66,4.08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.49,
0.557,98.040627848,115.974296093,-2.83,-0.94,1.19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,0.59,
0.58,100.9380627848,119.3814296093,-2.4,1.54,-0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.59,
0.605,103.54080627848,122.35914296093,-3.57,-0.09,1.66,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.49,
0.628,105.511080627848,124.843914296093,-5.84,-7.54,1.65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.69,
0.653,107.4091080627848,126.9103914296093,-6.11,-0.36,-1.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,0.59,
0.676,109.08391080627848,128.82703914296093,-1.4,-3.74,0.86,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.59,
0.701,110.25939108062785,130.37770391429612,-2.32,-2.96,-0.28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.59,
0.724,111.42093910806278,131.8017703914296,-3.52,2.02,-3.92,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.78,
0.749,112.45509391080628,133.15917703914295,-2.92,-3.08,0.71,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.78,
0.773,113.39550939108064,134.0149177039143,-1.15,0.47,-2.41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.88,
0.797,114.45255093910806,134.84749177039143,0.06,4.13,-2.73,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.78,
0.821,115.0532550939108,135.51574917703914,-0.56,-1.69,1.89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.78,
0.845,115.57232550939108,136.13157491770392,-1.94,-0.83,0.43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.78,
0.869,115.9752325509391,136.5801574917704,-1.76,-0.52,0.41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.78,
0.893,116.37552325509391,136.81401574917703,-3.01,-0.23,-2.18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.88,
0.917,116.80255232550938,136.9724015749177,-4.01,0.46,-2.79,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.98,
0.942,117.14225523255094,137.20424015749177,-6.48,-4.01,2.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.88,
