time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.351,56.72,24.44,-1.0,-1.0,-2.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.365,64.964,28.012999999999998,1.0,-1.0,-1.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.378,72.9704,31.2773,2.0,0.0,0.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.392,79.82804,33.961729999999996,0.0,0.0,0.0,0,1,0,0,0,0,0,0.10,0.00,0.10,
0.404,85.652804,36.345172999999996,-1.0,0.0,1.0,0,1,0,0,0,0,0,0.00,0.00,0.10,
0.418,90.7352804,38.302517300000005,-7.0,1.0,3.0,0,1,0,0,0,0,0,0.00,0.00,0.10,
0.431,95.29352804,40.02825173,-10.0,0.0,2.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.445,99.160352804,41.595825173,-13.0,1.0,4.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.458,102.46303528039999,43.0665825173,-12.0,0.0,1.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.472,105.07030352804,44.338658251729996,-9.0,-3.0,-4.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.485,106.99603035280398,45.482865825173,-4.0,-2.0,-6.0,0,1,0,0,0,0,0,0.10,0.00,0.00,
0.498,108.53860303528039,46.4252865825173,-1.0,0.0,-4.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.513,109.79086030352805,47.176528658251726,0.0,0.0,-2.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.526,110.9420860303528,47.80065286582517,0.0,0.0,0.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.539,112.08320860303527,48.259065286582526,-1.0,-1.0,1.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.552,113.24132086030353,48.73690652865825,-4.0,-2.0,3.0,0,1,0,0,0,0,0,0.00,0.00,0.10,
0.566,114.47313208603035,49.126690652865825,-5.0,-1.0,3.0,0,1,0,0,0,0,0,0.00,0.00,0.10,
0.579,115.48731320860303,49.318669065286585,-5.0,0.0,4.0,0,1,0,0,0,0,0,0.10,0.00,0.00,
0.592,116.45273132086031,49.32886690652866,-4.0,0.0,0.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.606,117.09827313208604,49.401886690652866,-2.0,-1.0,-2.0,0,1,0,0,0,0,0,0.00,0.00,0.10,
0.62,117.59482731320861,49.50818866906529,0.0,0.0,-4.0,0,1,0,0,0,0,0,0.00,0.00,0.10,
0.633,118.00448273132086,49.59981886690653,0.0,-2.0,-5.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.647,118.21644827313207,49.79798188669065,-1.0,0.0,-3.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.66,118.4356448273132,49.970798188669065,-3.0,0.0,0.0,0,1,0,0,0,0,0,0.00,0.00,0.10,
0.673,118.65556448273134,50.16807981886691,-4.0,-2.0,-1.0,0,1,0,0,0,0,0,0.00,0.00,0.10,
0.688,118.73155644827312,50.349807981886684,-4.0,0.0,2.0,0,1,0,0,0,0,0,0.00,0.00,0.10,
0.701,118.94615564482731,50.29598079818867,-2.0,1.0,2.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.714,119.13861556448273,50.164598079818866,0.0,1.0,2.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.728,119.46386155644826,50.03445980798189,0.0,2.0,0.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.741,119.73038615564482,50.03944598079819,0.0,-2.0,-3.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.754,119.68503861556448,50.21094459807982,-1.0,-1.0,-3.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.768,119.74350386155645,50.30909445980799,-2.0,0.0,-1.0,0,1,0,0,0,0,0,0.10,0.00,0.00,
0.781,119.81235038615563,50.381909445980796,-3.0,0.0,-1.0,0,1,0,0,0,0,0,0.10,0.00,0.00,
0.795,119.61223503861557,50.551190944598076,-3.0,3.0,1.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.808,119.61922350386155,50.595119094459804,-3.0,1.0,0.0,0,1,0,0,0,0,0,0.10,0.00,0.00,
0.822,119.71892235038615,50.84251190944598,0.0,-2.0,-3.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.835,119.4858922350386,51.2092511909446,0.0,-1.0,-2.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.848,119.39058922350385,51.31792511909446,2.0,-1.0,-2.0,0,1,0,0,0,0,0,0.10,0.00,0.00,
0.862,119.26405892235039,51.17579251190944,3.0,-1.0,0.0,0,1,0,0,0,0,0,0.00,0.00,0.10,
0.875,119.29640589223504,50.846579251190946,3.0,3.0,5.0,0,1,0,0,0,0,0,0.00,0.00,0.10,
0.888,119.5696405892235,50.3996579251191,0.0,2.0,3.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.902,119.92996405892235,50.16596579251191,-2.0,-1.0,0.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.916,120.09199640589223,50.043596579251194,-7.0,-1.0,-1.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.929,120.10819964058922,50.103359657925125,-11.0,-4.0,-3.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.943,120.00181996405892,50.46933596579251,-11.0,-4.0,-2.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.957,119.84718199640588,50.676933596579254,-7.0,2.0,4.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.97,119.76871819964059,50.652693359657924,-1.0,4.0,0.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.984,119.51787181996406,50.70426933596579,2.0,1.0,-3.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
0.997,119.3397871819964,50.75442693359658,4.0,1.0,-3.0,0,1,0,0,0,0,0,0.00,0.00,0.10,
1.01,119.33097871819965,50.73244269335965,3.0,-2.0,-5.0,0,1,0,0,0,0,0,0.10,0.00,0.10,
1.024,119.35709787181997,50.89224426933596,1.0,-4.0,-5.0,0,1,0,0,0,0,0,0.10,0.00,0.00,
1.038,119.341709787182,51.007224426933604,-1.0,1.0,0.0,0,1,0,0,0,0,0,0.00,0.00,0.10,
1.051,119.6281709787182,50.85672244269337,-2.0,2.0,0.0,0,1,0,0,0,0,0,0.00,0.00,0.10,
1.064,119.77381709787183,50.67967224426934,-3.0,0.0,-2.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
1.078,119.83338170978719,50.58996722442693,-2.0,0.0,-2.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
1.091,119.95633817097871,50.43699672244269,-1.0,1.0,-1.0,0,1,0,0,0,0,0,0.00,0.00,0.00,
