time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.356,77.57,18.81,5.0,6.0,12.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.369,88.91900000000001,21.393,4.0,0.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.382,99.61189999999999,23.9823,0.0,-5.0,-9.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.396,108.73619000000001,26.17623,-4.0,-7.0,-13.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.41,116.470619,28.231623,-9.0,-13.0,-9.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.423,122.9860619,29.8051623,-9.0,-16.0,-2.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.437,128.51560619,31.10551623,-7.0,-17.0,1.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.451,133.18156061899998,32.306551623,-7.0,-18.0,7.0,0,2,0,0,0,0,0,0.00,0.00,0.10,
0.464,137.1041560619,33.13765516229999,-7.0,-14.0,12.0,0,2,0,0,0,0,0,0.00,0.00,0.10,
0.478,140.60141560619002,33.55376551623,-7.0,1.0,4.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.491,143.741141560619,33.748376551623004,2.0,7.0,-2.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.504,146.5661141560619,34.0378376551623,12.0,9.0,1.0,0,2,0,0,0,0,0,0.00,0.00,0.10,
0.519,148.9006114156062,34.52578376551623,14.0,14.0,-2.0,0,2,0,0,0,0,0,0.00,0.00,0.10,
0.532,151.09606114156063,35.01557837655162,6.0,21.0,-3.0,0,2,0,0,0,0,0,0.00,0.00,0.10,
0.545,152.83660611415607,35.55955783765516,-3.0,27.0,-8.0,0,2,0,0,0,0,0,0.00,0.00,0.10,
0.559,154.2346606114156,36.45995578376552,-10.0,27.0,-12.0,0,2,0,0,0,0,0,0.00,0.00,0.10,
0.573,155.13046606114156,37.521995578376554,-10.0,17.0,-7.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.586,155.97604660611415,38.73519955783765,-8.0,0.0,2.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.6,156.5376046606114,39.558519955783765,-10.0,-16.0,12.0,0,2,0,0,0,0,0,0.00,0.00,0.10,
0.614,156.84576046606114,39.99185199557838,-13.0,-21.0,9.0,0,2,0,0,0,0,0,0.00,0.00,0.10,
0.627,157.1015760466061,40.05318519955784,-14.0,-17.0,-3.0,0,2,0,0,0,0,0,0.00,0.00,0.10,
0.642,157.28015760466064,39.96031851995579,-11.0,-10.0,-12.0,0,2,0,0,0,0,0,0.00,0.00,0.10,
0.655,157.56801576046607,39.834031851995576,-2.0,-3.0,-13.0,0,2,0,0,0,0,0,0.00,0.00,0.10,
0.669,157.9118015760466,39.84840318519956,7.0,3.0,-6.0,0,2,0,0,0,0,0,0.00,0.00,0.10,
0.683,158.54018015760468,39.72384031851996,13.0,9.0,1.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.696,159.26901801576045,39.585384031851994,14.0,14.0,15.0,0,2,0,0,0,0,0,0.00,0.00,0.10,
0.709,160.07090180157604,39.0045384031852,15.0,17.0,28.0,0,2,0,0,0,0,0,0.00,0.00,0.10,
0.722,160.78109018015763,38.568453840318526,18.0,26.0,23.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
