time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.389,40.74,42.4,-3.95,-1.08,2.41,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.412,46.662,48.790000000000006,-3.02,-0.58,3.82,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.97,
0.436,52.1682,54.37,-2.76,-2.01,2.05,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.51,
0.46,57.01182,59.113,-2.28,-2.41,-2.47,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.65,
0.484,61.348181999999994,63.466300000000004,-3.48,-1.56,-0.69,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.16,
0.508,64.8418182,66.95263,-4.53,-1.81,1.3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.532,67.72918182,69.88426299999999,-5.33,-2.2,-0.76,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.556,70.28591818199999,72.59842630000001,-5.73,-2.47,-0.84,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.4,
0.58,72.4765918182,74.75984263,-5.27,-1.98,-1.49,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.73,
0.604,74.44165918182,76.793984263,-4.6,-2.08,-3.16,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.45,
0.628,76.25816591818199,78.7163984263,-4.69,-1.95,0.13,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.35,
0.652,77.6278165918182,80.30363984263,-5.06,-1.51,3.59,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.06,
0.675,78.70078165918181,81.524363984263,-3.86,-0.68,1.64,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.06,
0.7,79.62707816591819,82.57343639842631,-2.88,-0.89,0.24,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.16,
0.723,80.39470781659182,83.41634363984264,-2.79,-1.9,0.6,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.06,
0.747,81.07447078165919,84.13063436398426,-2.75,-2.25,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.06,
0.772,81.70944707816592,84.80506343639843,-2.74,-1.75,0.34,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.16,
0.795,82.16894470781659,85.35850634363985,-2.57,-2.05,1.79,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.16,
0.819,82.50289447078165,85.81885063436398,-2.15,-1.92,1.83,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.16,
0.843,82.85128944707816,86.08988506343641,-2.11,-1.16,1.05,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.06,
0.867,83.14712894470782,86.20698850634363,-2.95,-1.44,0.93,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.16,
0.89,83.38371289447079,86.34469885063436,-3.47,-2.07,1.75,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.16,
0.915,83.60537128944708,86.33146988506344,-3.37,-1.76,0.32,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.16,
0.939,83.7805371289447,86.35714698850634,-3.89,-1.34,-1.58,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.26,
0.963,83.94205371289446,86.58471469885063,-3.89,-1.77,-1.19,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.16,
0.987,84.04820537128946,86.78747146988506,-3.96,-2.13,0.18,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.16,
