time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.394,38.0,44.67,-5.66,0.56,3.15,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.59,
0.417,43.625,51.348000000000006,-5.27,-1.63,8.46,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.59,
0.441,48.8585,57.343799999999995,-5.32,-1.34,8.74,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.69,
0.464,53.34185,62.47037999999999,-4.5,-0.73,4.93,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.06,
0.489,57.120185,66.763038,-2.76,-1.45,1.58,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.513,60.405018500000004,70.25230379999999,-1.29,-2.7,-2.02,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.59,
0.537,63.39750185,73.48123038,-2.18,-1.66,-1.42,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.78,
0.561,65.910750185,76.297123038,-3.56,-1.15,3.21,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.69,
0.584,67.9530750185,78.2167123038,-4.24,-1.65,3.27,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.69,
0.609,69.77730750185,79.92967123038,-4.21,-1.15,-1.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.78,
0.632,71.516730750185,81.675967123038,-4.51,0.76,-1.24,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.88,
0.657,72.9506730750185,83.26359671230381,-5.7,0.85,2.97,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.98,
0.68,74.00306730750187,84.47535967123038,-6.05,0.61,4.92,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.88,
0.704,74.95430673075019,85.47853596712304,-5.34,1.4,2.82,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.98,
0.728,75.80543067307502,86.34385359671231,-4.24,2.95,1.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.98,
0.752,76.46654306730751,86.95238535967123,-4.15,1.92,-0.02,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.78,
0.776,77.20765430673076,87.46323853596712,-5.02,1.99,-1.23,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.98,
0.799,77.83976543067307,88.10832385359672,-5.69,3.52,0.56,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,
0.824,78.26297654306731,88.59583238535969,-6.19,3.78,3.29,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.88,
0.847,78.40429765430673,88.72558323853596,-5.9,2.14,2.06,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.98,
0.871,78.55342976543066,88.99055832385359,-5.53,2.18,-1.24,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.88,
0.894,78.80234297654307,89.39505583238535,-4.97,1.24,-0.82,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,
0.919,78.9442342976543,89.74150558323853,-5.08,0.6,0.04,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.98,
0.943,79.08442342976542,90.14515055832386,-5.12,0.35,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.08,
0.966,79.13444234297654,90.46451505583238,-4.9,-0.35,1.98,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.98,
0.991,79.19344423429766,90.67645150558324,-3.66,-1.63,1.41,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,
1.014,79.32534442342977,90.85064515055832,-2.05,-0.88,-0.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.08,
1.038,79.42853444234296,90.86806451505583,-1.4,-1.32,-0.86,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.18,
1.062,79.60985344423429,90.97780645150557,-1.98,-1.8,0.12,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.18,
1.086,79.79898534442341,91.10578064515056,-2.31,-1.06,2.04,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.08,
1.111,79.83589853444235,90.92057806451506,-1.05,-1.02,2.37,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.08,
1.134,79.88458985344423,90.67705780645151,-0.78,-1.41,-0.27,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,
1.158,80.05145898534442,90.70670578064514,-1.85,-0.23,-0.29,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,
1.182,80.13114589853444,90.78167057806452,-2.49,-0.77,2.65,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,
1.206,80.13011458985345,90.57316705780646,-2.66,-1.78,2.62,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.49,
1.23,80.20201145898534,90.39931670578065,-2.73,-1.34,-0.59,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.59,
1.254,80.37120114589854,90.48993167057807,-3.04,-0.7,-1.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.78,
1.277,80.45112011458986,90.66099316705781,-3.94,-0.79,0.27,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.69,
