time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.389,39.82,41.21,-0.46,-2.01,1.2,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.78,0.29,
0.412,45.733000000000004,47.21300000000001,-0.65,-2.22,-0.24,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39,0.49,
0.436,51.463300000000004,53.0693,-1.23,-1.08,0.32,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.49,0.49,
0.46,56.302330000000005,58.13693000000001,-1.69,-0.85,1.7,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.78,0.69,
0.484,60.395233,62.207693,-2.09,-2.0,1.56,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.98,0.49,
0.507,63.9095233,65.6747693,-2.32,-2.52,-0.3,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.86,0.49,
0.532,66.94295233,68.80247693000001,-1.92,-1.3,-0.79,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.98,0.39,
0.556,69.541295233,71.455247693,-2.05,-0.96,0.69,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.28,0.39,
0.58,71.7181295233,73.6195247693,-2.71,-0.85,1.59,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.28,0.69,
0.604,73.56481295233,75.41095247693,-2.82,-0.36,1.95,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.47,0.69,
0.627,75.036481295233,76.931095247693,-2.98,-0.48,1.27,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.08,0.69,
0.652,76.2456481295233,78.1991095247693,-3.27,-0.37,-0.18,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.28,0.69,
0.675,77.46456481295233,79.46891095247693,-4.13,0.79,-0.01,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.37,0.69,
0.699,78.42345648129523,80.58589109524769,-4.02,0.44,1.99,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.47,0.78,
0.723,79.05934564812952,81.41758910952478,-3.86,-0.05,0.38,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.67,0.69,
0.747,79.68993456481296,82.20275891095248,-3.87,-0.49,-0.45,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.86,0.78,
0.771,80.27499345648131,83.09127589109524,-3.35,-0.31,0.44,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.67,0.69,
0.795,80.78349934564812,83.66612758910952,-2.85,-0.24,1.02,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.57,0.78,
0.819,81.16734993456481,84.02061275891096,-2.73,-1.23,0.83,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.37,0.78,
0.843,81.52073499345649,84.3980612758911,-3.53,-1.11,-0.34,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.08,0.88,
0.867,81.92507349934564,84.84980612758912,-3.11,-0.7,-0.75,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.57,0.88,
0.89,82.30750734993455,85.27298061275891,-2.83,-1.08,0.98,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.47,0.78,
0.915,82.48075073499345,85.45929806127589,-2.73,-1.76,1.34,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.28,0.78,
0.939,82.63307507349936,85.5949298061276,-2.71,-1.58,0.52,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.57,0.78,
0.962,82.79230750734995,85.68049298061275,-2.71,-1.34,-0.48,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.67,0.88,
0.987,83.051230750735,85.79704929806127,-2.56,-1.46,0.15,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.57,0.98,
