time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.372,35.76,37.39,-10.6,2.18,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,
0.396,43.518,45.751,-8.56,2.3,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,
0.419,50.6838,53.5621,-0.3,-1.9,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,
0.443,56.71938,60.38221,4.34,-4.62,-1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,
0.466,62.19193799999999,66.131221,3.68,-4.78,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,
0.49,66.9151938,70.8191221,2.83,-4.13,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,
0.514,70.80751938,74.76191221,1.56,-1.19,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,
0.537,74.337751938,77.86519122099999,2.76,0.1,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,
0.561,77.0577751938,80.5245191221,7.28,-3.16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,
0.584,79.39977751938,82.98645191221001,5.47,-4.13,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,
0.608,81.64097775193801,84.960645191221,2.45,-2.63,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.08,
0.631,83.2150977751938,86.5620645191221,1.49,-1.3,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.655,84.43450977751938,88.04520645191221,-2.66,1.24,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.678,85.75345097775194,89.19252064519121,-5.17,1.38,-3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,
0.702,87.20834509777521,90.13525206451911,-3.5,-1.44,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,
0.727,87.87583450977752,90.9765252064519,-5.07,1.67,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,
0.749,88.48258345097774,91.82565252064519,-4.96,3.07,-1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,
0.774,89.23625834509777,92.55856525206453,-0.2,-3.2,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16,
0.797,89.80662583450979,93.30685652520646,-0.27,-5.66,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,
0.821,90.46666258345098,93.90368565252065,-4.11,-1.4,3.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.844,91.0366662583451,94.20636856525206,-4.18,0.62,4.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,
0.868,91.29166662583451,94.25463685652521,-5.73,1.9,-0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,
0.891,91.54216666258344,94.34046368565251,-6.4,2.27,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,
0.915,91.83721666625834,94.57404636856525,-3.93,-1.05,-2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,
0.939,91.91172166662584,94.93040463685652,-4.65,-1.67,-0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,
0.963,91.90117216666259,95.14604046368565,-6.54,-0.62,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,
0.987,91.95411721666625,95.20360404636855,-4.4,-5.16,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,
1.01,91.95941172166661,95.47036040463686,-7.35,-3.93,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,
1.034,92.18494117216665,95.57803604046369,-10.05,-1.64,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,
1.057,92.36049411721666,95.48980360404637,-5.64,-2.37,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.081,92.39604941172168,95.48098036040463,-5.16,-0.36,-1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,
1.104,92.69660494117217,95.57009803604046,-7.08,-0.36,-1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,
1.129,92.82566049411723,95.59700980360404,-6.79,-2.44,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,
1.153,92.81156604941174,95.61770098036041,-7.53,-0.74,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,
1.176,92.95415660494118,95.66477009803604,-9.47,0.73,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,
1.2,93.07641566049412,95.50747700980361,-9.98,-0.13,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,
1.223,93.10664156604942,95.30274770098038,-6.34,-1.63,-1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,
1.247,93.19966415660494,95.41727477009805,-3.27,-2.95,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,
1.27,93.38896641566049,95.55472747700979,-4.14,-2.18,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,
1.294,93.31789664156605,95.38847274770099,-6.15,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,
1.317,93.16678966415661,95.33584727477009,-6.47,2.25,-3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,
1.342,93.24167896641566,95.56458472747701,-5.31,1.82,-2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,
1.366,93.46516789664156,95.74045847274772,-1.0,-1.18,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,
1.389,93.23551678966415,95.92904584727478,0.52,-1.38,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,
1.413,92.98755167896641,96.03790458472747,-1.48,0.72,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,
1.436,92.63875516789665,95.87779045847275,-0.5,-0.89,-2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,
1.46,92.34287551678968,95.87077904584727,-1.41,-2.95,-3.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,
1.483,92.12428755167896,96.00507790458471,-4.63,-2.88,-1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,
1.508,91.7514287551679,95.82050779045846,-3.03,-6.82,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,
1.531,91.5791428755168,95.58605077904585,-2.3,-8.46,-0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,
1.555,91.87691428755167,95.2566050779046,-4.85,-8.15,-0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,
1.579,92.12269142875516,94.83666050779047,-6.08,-7.57,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,
1.602,92.24626914287552,94.35366605077905,-6.98,-5.24,-3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,
