time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.372,36.51,36.33,-4.98,0.08,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,
0.396,44.087999999999994,44.358000000000004,-4.98,1.5,-0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,
0.419,51.4158,52.0098,-7.87,-3.57,-0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,
0.443,57.91758,58.42698,-7.63,-5.21,-1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.467,63.310758,63.964698,-0.62,-5.61,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,
0.491,67.74707579999999,68.8384698,1.99,0.01,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.515,71.70970758,72.67384698,4.65,-0.88,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.538,74.724970758,76.17138469800001,7.7,-2.24,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.562,77.60049707579999,79.35613846979999,5.44,-1.83,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,
0.585,80.30904970758,82.20361384698,4.08,-3.11,5.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.18,
0.61,82.424904970758,84.28836138469799,3.91,-2.44,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.86,
0.633,84.16649049707581,86.0988361384698,3.57,-1.18,5.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,
0.657,85.72664904970759,87.81888361384698,2.21,-0.43,5.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,
0.68,87.03466490497075,89.3858883613847,-0.63,-1.3,2.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.37,
0.704,88.26346649049708,90.44258883613847,-3.59,-0.04,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,1.57,
0.728,89.2683466490497,91.41225888361384,-5.2,-0.7,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,
0.752,90.43083466490498,91.9772258883614,-3.86,-2.14,-0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,
0.776,90.8350834664905,92.62772258883615,-2.48,-1.59,-1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.39,
0.799,91.36150834664906,93.16077225888361,-4.18,-1.37,-1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,
0.824,92.0351508346649,93.70907722588836,-5.02,-0.34,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.78,
0.847,92.48051508346649,94.16890772258884,-6.24,1.91,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.59,
