time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.379,43.88,46.08,-3.2,-1.6,-0.58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.88,
0.404,50.333,52.892999999999994,-4.24,-0.14,0.11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.59,
0.428,56.2883,59.1903,-5.16,0.13,-0.73,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.69,
0.451,61.455830000000006,64.59003,-7.15,-1.08,-2.37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.78,
0.476,66.040583,69.180003,-8.83,-0.97,-1.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.69,
0.499,69.81105830000001,73.2390003,-4.27,-1.39,1.44,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.67,
0.524,72.78910583000001,76.65990003000002,-1.64,-3.05,-0.77,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.18,
0.547,75.615910583,79.79199000300001,-3.29,-3.77,-0.11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,
0.571,78.0945910583,82.3371990003,-4.63,-2.8,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.88,
0.595,80.12445910583,84.48171990003,-3.82,-1.08,0.81,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,
0.619,81.920445910583,86.28017199000301,-4.27,0.42,-1.42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29,
0.644,83.4590445910583,87.8010171990003,-3.63,-0.95,-1.37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,
0.667,84.72890445910583,89.01510171990004,-3.88,-1.76,-1.71,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.08,
0.692,85.80089044591058,90.08151017199,-4.91,-0.14,-0.37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.715,86.67308904459107,90.881151017199,-1.93,-3.21,1.19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.739,87.27330890445911,91.58211510171989,0.21,-5.21,-0.79,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.73,
0.763,87.95433089044592,92.453211510172,-3.85,-4.18,-1.48,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,
0.787,88.5534330890446,93.0533211510172,-3.74,-2.44,-0.24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.69,
0.812,88.94634330890446,93.47333211510171,-2.51,-1.57,0.27,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.47,
0.835,89.39063433089044,93.68633321151017,-4.97,-0.29,-0.26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.08,
0.859,89.71406343308905,93.88763332115101,-4.49,-1.49,1.15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.69,
