time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.376,30.63,54.98,-9.94,-0.47,0.2,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.49,
0.401,37.614000000000004,66.869,-9.92,1.06,1.21,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.69,
0.424,43.8564,78.0479,-10.37,4.05,3.47,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.49,
0.448,48.84564,87.61679000000001,-10.2,5.05,3.2,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.49,
0.472,53.124564,95.800679,-9.36,0.23,2.86,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.69,
0.495,57.21545640000001,102.4960679,-10.31,0.05,4.82,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.69,
0.52,61.02654564000001,108.20560679,-13.24,-0.24,4.55,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.59,
0.543,64.080654564,113.159560679,-13.81,5.15,4.6,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.59,0.59,
0.567,66.1410654564,117.5519560679,-13.71,6.11,1.43,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.69,
0.591,67.78710654564,121.58219560679,-10.13,3.19,0.72,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.69,
0.615,69.508710654564,124.820219560679,-6.44,-0.93,1.98,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.49,
0.638,71.2288710654564,127.3670219560679,-6.71,-1.11,4.66,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.69,
0.663,72.44488710654564,129.43970219560677,-8.52,1.49,4.36,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.59,
0.687,73.16048871065456,131.4019702195607,-7.25,0.37,1.8,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.59,
0.71,73.67304887106545,133.12819702195605,-4.96,-1.31,-0.75,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.78,
0.735,74.31830488710655,134.5698197021956,-3.68,-3.39,-1.85,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.88,
0.758,75.45383048871066,135.64098197021954,-2.78,-4.11,-0.45,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.88,
0.782,76.69238304887106,136.46809819702196,-2.18,-3.36,3.02,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.59,
0.806,77.5182383048871,136.9828098197022,-3.64,-0.65,3.9,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.69,
0.83,78.1948238304887,137.57428098197022,-4.4,-0.29,1.09,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.78,
0.854,78.86548238304887,137.966428098197,-5.01,-1.87,-1.21,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.88,
0.878,79.64354823830489,138.2486428098197,-5.95,-1.24,-0.63,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.98,
0.902,79.96435482383049,138.40286428098196,-6.95,2.24,-0.79,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.88,
0.925,80.00543548238305,138.6702864280982,-7.24,2.39,-1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.78,
0.95,80.0005435482383,139.00302864280982,-7.2,-0.21,-1.01,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.88,
0.973,79.93705435482384,139.35130286428097,-5.66,-0.92,1.04,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.98,
0.997,79.86770543548238,139.4941302864281,-5.49,-0.48,-0.38,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.98,
1.021,79.71677054354824,139.5264130286428,-6.63,-0.27,-0.31,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.98,
1.045,79.55767705435484,139.7726413028643,-6.1,-3.82,-0.34,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.98,
1.07,79.50576770543547,140.04926413028645,-4.17,-2.01,-0.45,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.98,
1.093,79.57257677054355,140.17592641302866,-3.03,-1.89,-1.73,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.88,
