time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.364,48.56,14.12,-3.0,0.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.377,54.014,15.65,-4.0,-2.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.10,
0.391,59.5274,17.171,-5.0,-3.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.10,
0.404,64.45274,18.5561,-6.0,-4.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.10,
0.418,68.590274,19.80161,-6.0,-3.0,-3.0,0,2,0,0,0,0,0,0.00,0.00,0.10,
0.432,71.8210274,20.889161,-5.0,-1.0,-4.0,0,2,0,0,0,0,0,0.00,0.00,0.20,
0.445,74.57410274,21.744916099999998,-4.0,-1.0,-4.0,0,2,0,0,0,0,0,0.00,0.00,0.29,
0.458,76.991410274,22.50549161,-4.0,-1.0,-4.0,0,2,0,0,0,0,0,0.00,0.00,0.29,
0.472,79.28514102740002,23.112549161,-4.0,-2.0,-2.0,0,2,0,0,0,0,0,0.10,0.00,0.20,
0.486,81.31451410274,23.7042549161,-3.0,-1.0,-1.0,0,2,0,0,0,0,0,0.00,0.00,0.20,
0.499,82.89445141027399,24.41142549161,-3.0,0.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.20,
0.513,84.1504451410274,24.977142549161,-2.0,0.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.20,
0.526,85.31104451410275,25.402714254916102,-1.0,0.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.29,
0.539,86.39010445141028,25.643271425491612,-1.0,0.0,-1.0,0,2,0,0,0,0,0,0.00,0.00,0.29,
0.552,87.17301044514103,25.757327142549162,-1.0,0.0,-1.0,0,2,0,0,0,0,0,0.00,0.00,0.20,
0.566,87.3143010445141,25.885732714254914,-1.0,0.0,-1.0,0,2,0,0,0,0,0,0.00,0.00,0.20,
0.579,87.21143010445141,26.069573271425494,-2.0,0.0,-2.0,0,2,0,0,0,0,0,0.00,0.00,0.29,
