time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.376,54.01,15.87,0.0,-3.0,-2.0,0,2,0,0,0,0,0,0.49,0.00,0.00,
0.39,58.086999999999996,17.283,2.0,-3.0,-3.0,0,2,0,0,0,0,0,0.49,0.00,0.10,
0.403,61.45569999999999,18.5583,2.0,-2.0,-2.0,0,2,0,0,0,0,0,0.49,0.00,0.10,
0.416,64.00657,19.57683,0.0,-2.0,0.0,0,2,0,0,0,0,0,0.59,0.00,0.10,
0.43,66.349657,20.272683,-4.0,-3.0,2.0,0,2,0,0,0,0,0,0.59,0.00,0.00,
0.443,68.8519657,20.6392683,-9.0,-5.0,3.0,0,2,0,0,0,0,0,0.59,0.00,0.00,
0.457,71.10019657000001,21.10792683,-9.0,-6.0,2.0,0,2,0,0,0,0,0,0.49,0.00,0.00,
0.471,72.990019657,21.640792683,-7.0,-5.0,0.0,0,2,0,0,0,0,0,0.49,0.00,0.20,
0.484,74.70900196570001,22.1710792683,-6.0,-4.0,-3.0,0,2,0,0,0,0,0,0.39,0.00,0.20,
0.497,75.96990019657,22.638107926830003,-5.0,-4.0,-4.0,0,2,0,0,0,0,0,0.39,0.00,0.29,
0.51,77.20299001965701,22.792810792683,-6.0,-4.0,-2.0,0,2,0,0,0,0,0,0.29,0.00,0.20,
0.525,78.2802990019657,22.781281079268304,-7.0,-5.0,-1.0,0,2,0,0,0,0,0,0.29,0.00,0.10,
0.538,78.99102990019657,22.82512810792683,-8.0,-4.0,-1.0,0,2,0,0,0,0,0,0.29,0.00,0.10,
0.551,79.32310299001966,23.225512810792683,-8.0,-3.0,-2.0,0,2,0,0,0,0,0,0.39,0.00,0.00,
0.565,79.93231029900197,23.688551281079267,-7.0,-2.0,-1.0,0,2,0,0,0,0,0,0.29,0.00,0.00,
0.578,80.4612310299002,23.842855128107928,-10.0,-4.0,1.0,0,2,0,0,0,0,0,0.20,0.00,0.00,
0.591,80.62212310299003,23.876285512810792,-11.0,-6.0,3.0,0,2,0,0,0,0,0,0.20,0.00,0.00,
0.605,80.413212310299,23.735628551281078,-10.0,-9.0,3.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.618,80.2753212310299,23.487562855128107,-10.0,-9.0,4.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.631,80.234532123103,23.25575628551281,-9.0,-8.0,2.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.646,80.38345321231031,23.187575628551283,-11.0,-7.0,1.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.659,80.74034532123103,23.135757562855126,-12.0,-6.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.672,81.1540345321231,23.238575756285513,-11.0,-4.0,-1.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.686,81.67240345321231,23.149857575628552,-10.0,-2.0,-2.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.699,81.86824034532124,23.086985757562854,-10.0,-3.0,-2.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.712,82.06782403453212,22.927698575756285,-11.0,-5.0,-1.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.726,82.2497824034532,22.821769857575628,-11.0,-6.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.739,82.60097824034533,22.712176985757562,-9.0,-5.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.752,82.99609782403454,22.64721769857576,-9.0,-4.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.765,83.49460978240344,22.65872176985758,-8.0,-2.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.10,
0.779,83.88646097824035,22.785872176985755,-7.0,-1.0,-1.0,0,2,0,0,0,0,0,0.00,0.00,0.10,
0.793,84.08764609782403,22.960587217698578,-5.0,0.0,-1.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.806,84.4407646097824,22.87905872176986,-3.0,0.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.10,
0.819,84.40407646097825,22.717905872176985,-4.0,0.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.832,84.22040764609783,22.4857905872177,-6.0,0.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.845,83.87804076460978,22.51657905872177,-6.0,-1.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.859,83.91580407646099,22.672657905872178,-6.0,-1.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.872,84.1715804076461,22.76926579058722,-5.0,0.0,-1.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.885,84.42215804076461,22.877926579058723,-5.0,0.0,-2.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.899,84.35721580407645,22.81679265790587,-5.0,0.0,-2.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.912,83.99972158040764,23.107679265790587,-5.0,0.0,-4.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.925,84.02697215804078,23.082767926579056,-1.0,0.0,-2.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.939,83.86769721580409,23.053276792657904,-1.0,0.0,-2.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.952,83.67176972158042,22.83432767926579,-1.0,1.0,-2.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.965,83.29217697215803,22.65943276792658,-2.0,1.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.978,82.5882176972158,22.74994327679266,-2.0,3.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
0.992,81.85182176972158,22.722994327679267,-1.0,3.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
1.005,81.51718217697217,22.801299432767927,-1.0,2.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
1.018,81.69971821769721,22.782129943276793,0.0,0.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
1.032,82.14097182176972,22.816212994327678,0.0,-1.0,0.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
1.045,82.39209718217697,22.720621299432768,0.0,-1.0,-1.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
1.058,82.3182097182177,22.639062129943277,0.0,0.0,-2.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
1.072,81.65382097182177,22.486906212994327,0.0,1.0,-2.0,0,2,0,0,0,0,0,0.00,0.00,0.00,
