time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.325,35.94,13.83,-2.0,1.0,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,
0.338,48.657000000000004,18.672,-2.0,0.0,0.0,0,0,0,0,0,0,0,0.00,0.49,0.10,
0.352,60.7557,23.278200000000002,-1.0,0.0,-1.0,0,0,0,0,0,0,0,0.10,3.04,0.29,
0.364,71.32557,27.131819999999998,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0.10,1.18,0.20,
0.377,80.18555699999999,30.406182,-1.0,-2.0,-1.0,0,0,0,0,0,0,0,0.10,1.08,0.20,
0.391,87.7045557,33.1186182,-1.0,0.0,-2.0,0,0,0,0,0,0,0,0.10,0.39,0.20,
0.404,94.05445557,35.55886182,-1.0,1.0,-2.0,0,0,0,0,0,0,0,0.10,0.00,0.20,
0.417,99.468445557,37.746886182000004,-2.0,0.0,0.0,0,0,0,0,0,0,0,0.10,0.10,0.29,
0.43,103.97884455570001,39.7566886182,-1.0,1.0,0.0,0,0,0,0,0,0,0,0.00,0.10,0.20,
0.443,107.85888445557,41.48766886182,0.0,0.0,0.0,0,0,0,0,0,0,0,0.00,0.00,0.20,
0.456,111.162888445557,42.965766886181996,0.0,0.0,-1.0,0,0,0,0,0,0,0,0.10,0.69,0.29,
0.47,113.9232888445557,44.17557668861821,0.0,0.0,-1.0,0,0,0,0,0,0,0,0.00,0.00,0.29,
0.482,116.13432888445557,45.29555766886182,0.0,0.0,-1.0,0,0,0,0,0,0,0,0.10,0.00,0.20,
0.495,118.20043288844556,45.96555576688618,0.0,0.0,-1.0,0,0,0,0,0,0,0,0.10,0.29,0.39,
0.508,120.03604328884455,46.54555557668861,-1.0,0.0,-1.0,0,0,0,0,0,0,0,0.10,0.00,0.39,
0.522,121.68660432888446,46.828555557668864,-1.0,0.0,-1.0,0,0,0,0,0,0,0,0.10,0.39,0.39,
0.535,123.11166043288844,47.00985555576689,-1.0,0.0,-3.0,0,0,0,0,0,0,0,0.10,0.59,0.29,
0.548,124.28916604328884,47.072985555576686,-1.0,0.0,-4.0,0,0,0,0,0,0,0,0.10,0.20,0.10,
0.561,125.08191660432888,47.23229855555766,-2.0,1.0,-3.0,0,0,0,0,0,0,0,0.20,0.00,0.10,
0.574,125.83619166043289,47.24822985555576,-3.0,1.0,-2.0,0,0,0,0,0,0,0,0.20,0.59,0.10,
0.587,126.5146191660433,47.30382298555558,-4.0,1.0,-2.0,0,0,0,0,0,0,0,0.10,0.00,0.10,
0.601,127.02346191660433,47.44438229855555,-4.0,0.0,-2.0,0,0,0,0,0,0,0,0.00,0.29,0.20,
0.614,127.28134619166043,47.83643822985556,-4.0,1.0,-3.0,0,0,0,0,0,0,0,0.00,0.00,0.10,
0.627,127.43313461916604,48.21764382298555,-4.0,0.0,-2.0,0,0,0,0,0,0,0,0.00,0.00,0.10,
0.641,127.4483134619166,48.58876438229856,-3.0,0.0,-1.0,0,0,0,0,0,0,0,0.00,0.00,0.10,
0.653,127.56683134619166,48.91387643822986,-3.0,0.0,0.0,0,0,0,0,0,0,0,0.10,0.39,0.20,
0.666,127.78568313461918,49.23438764382299,-3.0,-1.0,0.0,0,0,0,0,0,0,0,0.00,0.00,0.20,
0.679,128.29356831346192,49.293438764382294,-2.0,-1.0,0.0,0,0,0,0,0,0,0,0.10,0.00,0.20,
0.693,128.71335683134618,49.40734387643823,-2.0,-2.0,0.0,0,0,0,0,0,0,0,0.10,0.39,0.29,
0.706,128.90833568313462,49.679734387643826,-2.0,-1.0,-1.0,0,0,0,0,0,0,0,0.10,0.00,0.29,
0.719,129.2878335683135,49.66197343876438,-2.0,0.0,-2.0,0,0,0,0,0,0,0,0.10,0.29,0.39,
0.733,129.48778335683136,49.58819734387644,-3.0,0.0,-1.0,0,0,0,0,0,0,0,0.20,0.00,0.29,
0.746,129.61577833568313,49.60781973438765,-4.0,0.0,-1.0,0,0,0,0,0,0,0,0.20,0.49,0.10,
0.758,129.6825778335683,49.618781973438765,-4.0,-1.0,-1.0,0,0,0,0,0,0,0,0.10,0.00,0.00,
0.772,129.66225778335684,49.55687819734388,-2.0,-1.0,-2.0,0,0,0,0,0,0,0,0.20,1.08,0.00,
0.785,129.73222577833567,49.586687819734394,-2.0,-1.0,-1.0,0,0,0,0,0,0,0,0.20,0.29,0.20,
0.798,129.79322257783357,49.49066878197343,-2.0,-1.0,0.0,0,0,0,0,0,0,0,0.10,0.00,0.10,
0.812,129.90732225778336,49.427066878197344,-2.0,0.0,0.0,0,0,0,0,0,0,0,0.20,0.00,0.10,
0.825,130.06273222577835,49.38470668781973,-3.0,0.0,0.0,0,0,0,0,0,0,0,0.20,0.00,0.00,
0.838,130.28527322257784,49.29947066878197,-3.0,0.0,-1.0,0,0,0,0,0,0,0,0.10,0.00,0.00,
0.851,130.3525273222578,49.2819470668782,-2.0,0.0,-2.0,0,0,0,0,0,0,0,0.10,0.29,0.10,
0.864,130.18825273222578,49.43319470668782,-3.0,-1.0,-2.0,0,0,0,0,0,0,0,0.20,0.00,0.10,
0.877,130.0638252732226,49.57431947066879,-2.0,0.0,-1.0,0,0,0,0,0,0,0,0.20,0.20,0.00,
0.89,130.06038252732225,49.723431947066885,-2.0,0.0,0.0,0,0,0,0,0,0,0,0.20,0.29,0.10,
0.904,130.2400382527322,49.78334319470669,-2.0,0.0,0.0,0,0,0,0,0,0,0,0.10,0.00,0.10,
0.917,130.33000382527322,49.96933431947067,0.0,0.0,0.0,0,0,0,0,0,0,0,0.10,0.00,0.00,
0.93,130.55500038252734,49.91593343194706,1.0,0.0,0.0,0,0,0,0,0,0,0,0.10,0.00,0.00,
0.943,130.55050003825275,49.97359334319471,1.0,0.0,-1.0,0,0,0,0,0,0,0,0.10,0.00,0.00,
0.956,130.3520500038253,50.114359334319474,0.0,0.0,0.0,0,0,0,0,0,0,0,0.10,0.00,0.00,
0.969,130.2422050003825,50.12843593343195,0.0,1.0,0.0,0,0,0,0,0,0,0,0.10,0.29,0.00,
0.982,130.34822050003825,50.00384359334319,0.0,0.0,0.0,0,0,0,0,0,0,0,0.10,0.00,0.00,
0.995,130.54782205000382,49.73938435933432,0.0,0.0,0.0,0,0,0,0,0,0,0,0.10,0.69,0.00,
1.008,130.6937822050004,49.49693843593344,0.0,0.0,-3.0,0,0,0,0,0,0,0,0.10,0.00,0.00,
1.021,130.76237822050004,49.211693843593345,-2.0,-1.0,-4.0,0,0,0,0,0,0,0,0.20,0.49,0.00,
1.034,130.55323782205,49.12916938435933,-3.0,-1.0,-3.0,0,0,0,0,0,0,0,0.20,0.20,0.00,
1.047,130.307323782205,49.210916938435936,-4.0,-1.0,-2.0,0,0,0,0,0,0,0,0.20,0.00,0.00,
1.06,130.2377323782205,49.237091693843595,-3.0,0.0,0.0,0,0,0,0,0,0,0,0.29,0.00,0.00,
1.074,130.15877323782206,49.31170916938436,-3.0,0.0,0.0,0,0,0,0,0,0,0,0.20,0.00,0.00,
1.087,130.0878773237822,49.373170916938435,-2.0,0.0,0.0,0,0,0,0,0,0,0,0.10,0.00,0.00,
1.1,130.10778773237823,49.478317091693846,-1.0,-1.0,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,
1.114,129.99277877323783,49.758831709169385,0.0,-1.0,0.0,0,0,0,0,0,0,0,0.10,0.00,0.00,
1.126,129.8552778773238,49.948883170916936,-1.0,-2.0,0.0,0,0,0,0,0,0,0,0.10,0.00,0.00,
1.139,129.86852778773238,49.77888831709169,-3.0,0.0,0.0,0,0,0,0,0,0,0,0.10,0.00,0.00,
1.153,129.93285277877322,49.51888883170917,-3.0,0.0,0.0,0,0,0,0,0,0,0,0.00,0.20,0.00,
1.166,130.14628527787733,49.06988888317092,-4.0,0.0,-1.0,0,0,0,0,0,0,0,0.10,0.00,0.00,
