time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.392,52.33,60.33,-4.57,-1.98,-1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,
0.415,60.196,69.44699999999999,-4.88,-0.03,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,
0.439,67.73259999999999,78.20670000000001,-3.69,0.54,4.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,
0.462,74.17425999999999,85.70667,0.87,-1.49,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,
0.486,79.498426,91.946667,1.08,-1.58,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,
0.509,84.1258426,97.2326667,-4.4,-0.9,-3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,
0.533,88.11658426000001,101.86526667,-5.79,-0.97,-2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,
0.558,91.62965842599999,106.02752666699999,-4.08,-0.85,-0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,
0.581,94.44696584260001,109.36875266669999,-4.04,-0.6,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,
0.605,96.77169658426,111.97987526666999,-4.02,-1.59,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,
0.628,98.705169658426,114.202987526667,-3.64,-2.34,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,
0.652,100.1405169658426,116.0722987526667,-4.16,-0.9,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,
0.676,101.43605169658426,117.77122987526667,-4.31,-0.39,-0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,
0.7,102.56460516965844,119.16512298752666,-4.08,-1.79,-0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,
