time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.396,52.21,52.87,-2.02,-2.89,-1.92,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.49,
0.419,60.129999999999995,60.781,-5.53,-1.99,-1.17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29,
0.443,67.789,68.3401,-6.09,-0.46,0.82,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29,
0.466,74.2789,74.84700999999998,-5.27,-0.98,2.31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.39,
0.49,79.69789,80.456701,-6.6,-1.19,2.18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.49,
0.514,84.27178900000001,85.2476701,-7.4,-1.38,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.59,
0.537,88.0951789,89.25476701,-6.88,-1.99,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.59,
0.561,91.35751789,92.571476701,-5.74,-2.82,0.24,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.49,
0.584,94.212751789,95.5671476701,-4.16,-2.93,0.89,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.39,
0.608,96.4872751789,97.98171476700999,-3.15,-2.47,2.59,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.59,
0.631,98.48772751789,99.942171476701,-2.04,-2.73,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.49,
0.655,100.307772751789,101.6052171476701,-2.97,-2.03,0.55,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.49,
0.679,101.8577772751789,102.932521714767,-4.79,0.39,0.69,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.49,
0.703,103.16477772751789,104.1002521714767,-4.68,1.6,-0.69,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.59,
0.727,104.26747777275179,105.39602521714767,-3.59,0.14,-1.56,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.78,
0.75,105.09774777727519,106.59660252171477,-5.6,0.22,-0.79,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.59,
0.774,105.85577477772752,107.64366025217149,-5.63,-0.25,-0.97,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.49,
0.797,106.48957747777276,108.54936602521715,-2.43,-1.79,-1.21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.59,
0.822,107.06595774777728,109.24293660252171,-2.54,-1.24,0.59,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.88,
0.845,107.42959577477772,109.59129366025218,-4.18,-1.06,2.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.69,
0.869,107.62795957747778,109.63512936602521,-2.3,-1.47,1.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.59,
0.892,107.89079595774777,109.63951293660251,0.01,-3.57,-0.12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.49,
0.916,108.31307959577478,109.71195129366025,-3.66,-2.63,0.53,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.69,
0.94,108.64330795957748,109.70119512936603,-5.0,-0.44,2.53,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.69,
0.964,108.91933079595775,109.68211951293661,-1.21,0.11,1.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.88,
0.988,109.12693307959579,109.77921195129366,-2.6,-0.23,-1.13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.78,
1.011,109.43569330795957,110.13092119512937,-7.1,1.59,0.08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.78,
1.035,109.52956933079597,110.63409211951293,-6.5,1.94,2.51,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.69,
1.058,109.58395693307959,111.2424092119513,-5.5,1.75,4.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.59,
1.082,109.32839569330795,111.80724092119513,-1.66,-0.08,3.73,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.78,
1.105,109.0328395693308,112.0887240921195,3.91,-2.77,-0.27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.98,
1.129,109.12928395693308,112.15287240921195,4.36,-4.02,-4.34,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.88,
1.154,109.4809283956933,112.41128724092118,0.64,-2.21,-3.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.59,
1.177,109.70509283956933,112.57212872409212,1.91,-1.35,-0.73,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.69,
1.201,109.75450928395693,112.57021287240921,2.64,-0.51,-1.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.78,
1.224,110.07445092839569,112.88502128724092,2.33,-0.79,-3.67,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.88,
1.248,110.37644509283956,113.3935021287241,4.34,-1.13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.78,
1.271,110.60464450928394,113.1563502128724,6.45,-0.74,1.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.88,
1.295,110.62746445092839,112.46663502128723,6.49,-1.17,-0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.88,
1.319,110.46774644509284,111.65966350212872,0.9,-0.9,-1.92,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.59,
1.343,110.50577464450929,111.16496635021286,-3.92,-1.5,-1.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.78,
1.367,110.68957746445092,111.04349663502128,-3.82,-1.88,1.24,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.78,
1.39,110.8249577464451,111.09434966350211,-3.85,-1.25,4.18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.88,
1.414,110.87449577464452,111.1264349663502,-5.56,0.69,4.63,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.78,
1.437,110.99644957746446,111.09364349663502,-7.43,1.8,1.89,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.78,
1.461,111.09864495774644,111.6303643496635,-8.47,2.73,2.08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.49,
1.484,110.92886449577465,112.15203643496633,-7.5,2.52,2.13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.78,
1.509,110.65988644957746,112.78020364349663,-3.43,-0.95,-1.34,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.88,
1.532,110.58798864495775,113.33802036434966,-1.91,-2.68,-3.82,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.78,
1.556,110.68879886449578,113.78080203643496,2.4,-2.2,-3.78,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.78,
1.58,110.77087988644958,113.94208020364348,2.56,-1.16,-0.88,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.78,
1.603,110.69808798864494,113.70620802036436,0.47,0.76,1.34,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.69,
1.627,110.55580879886449,112.89962080203644,1.67,-0.6,-1.64,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.98,
