time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.367,61.81,10.98,0.0,-2.0,2.0,0,0,0,0,0,0,0,0.10,0.00,0.00,
0.379,69.001,12.158999999999999,0.0,-2.0,0.0,0,0,0,0,0,0,0,0.00,0.10,0.00,
0.393,75.81309999999999,13.3209,0.0,-2.0,-4.0,0,0,0,0,0,0,0,0.00,0.10,0.00,
0.406,81.30031,14.49909,-1.0,-1.0,-7.0,0,0,0,0,0,0,0,0.10,0.10,0.00,
0.42,85.413031,15.435908999999999,0.0,0.0,-6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,
0.434,88.5693031,16.3395909,-1.0,0.0,-4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,
0.447,91.83693031,16.97895909,0.0,-3.0,-1.0,0,0,0,0,0,0,0,0.00,0.10,0.00,
0.46,95.59269303100001,17.186895909,0.0,-2.0,4.0,0,0,0,0,0,0,0,0.00,0.20,0.10,
0.474,98.8482693031,17.477689590900003,0.0,-1.0,3.0,0,0,0,0,0,0,0,0.00,0.20,0.10,
0.487,102.05382693031,17.74076895909,-1.0,-1.0,-2.0,0,0,0,0,0,0,0,0.10,0.20,0.10,
0.5,104.030382693031,18.181076895909,-4.0,0.0,-8.0,0,0,0,0,0,0,0,0.10,0.20,0.00,
0.514,105.2270382693031,18.7111076895909,-4.0,-1.0,-13.0,0,0,0,0,0,0,0,0.10,0.20,0.10,
0.527,106.19270382693031,19.07011076895909,-1.0,-2.0,-7.0,0,0,0,0,0,0,0,0.10,0.10,0.10,
0.54,107.05427038269303,19.21401107689591,1.0,0.0,2.0,0,0,0,0,0,0,0,0.00,0.10,0.10,
0.553,107.62642703826931,19.498401107689592,3.0,0.0,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,
0.567,108.46664270382693,19.64384011076896,3.0,0.0,3.0,0,0,0,0,0,0,0,0.10,0.10,0.10,
0.58,109.34266427038268,19.640384011076897,1.0,0.0,0.0,0,0,0,0,0,0,0,0.00,0.10,0.10,
0.593,109.76326642703827,19.72103840110769,0.0,0.0,-1.0,0,0,0,0,0,0,0,0.00,0.20,0.10,
0.607,110.12932664270383,19.69310384011077,-3.0,0.0,0.0,0,0,0,0,0,0,0,0.10,0.29,0.00,
0.62,111.02093266427039,19.45631038401108,-6.0,-1.0,1.0,0,0,0,0,0,0,0,0.00,0.29,0.00,
0.633,111.53309326642704,19.324631038401105,-7.0,-1.0,0.0,0,0,0,0,0,0,0,0.00,0.20,0.00,
0.648,111.7193093266427,19.49146310384011,-7.0,-2.0,-5.0,0,0,0,0,0,0,0,0.00,0.20,0.00,
0.661,111.91793093266426,19.58914631038401,-7.0,-2.0,-7.0,0,0,0,0,0,0,0,0.10,0.10,0.00,
0.674,111.92879309326644,19.9049146310384,-7.0,-2.0,-6.0,0,0,0,0,0,0,0,0.10,0.20,0.00,
0.688,111.83087930932663,20.28749146310384,-4.0,-2.0,-4.0,0,0,0,0,0,0,0,0.10,0.20,0.10,
0.701,111.95608793093265,20.55974914631038,-1.0,0.0,0.0,0,0,0,0,0,0,0,0.10,0.10,0.00,
0.714,112.32860879309327,20.640974914631038,0.0,0.0,3.0,0,0,0,0,0,0,0,0.20,0.10,0.10,
0.728,112.77086087930932,20.676097491463103,0.0,0.0,2.0,0,0,0,0,0,0,0,0.10,0.10,0.10,
0.741,113.24708608793092,20.571609749146308,0.0,0.0,0.0,0,0,0,0,0,0,0,0.00,0.20,0.10,
0.754,113.40270860879309,20.57916097491463,-1.0,0.0,-1.0,0,0,0,0,0,0,0,0.00,0.10,0.10,
0.768,113.3192708608793,20.642916097491465,-2.0,0.0,-3.0,0,0,0,0,0,0,0,0.10,0.10,0.10,
0.781,113.72492708608793,20.559291609749145,-4.0,-1.0,-1.0,0,0,0,0,0,0,0,0.10,0.00,0.10,
0.795,114.3234927086088,20.57792916097491,-4.0,-1.0,0.0,0,0,0,0,0,0,0,0.10,0.10,0.00,
0.808,114.80634927086088,20.84079291609749,-4.0,-1.0,-2.0,0,0,0,0,0,0,0,0.00,0.10,0.00,
0.822,115.07063492708609,21.12807929160975,-3.0,0.0,-5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,
0.835,114.36806349270861,21.480807929160974,-2.0,0.0,-9.0,0,0,0,0,0,0,0,0.10,0.00,0.00,
0.848,113.26280634927086,21.633080792916097,0.0,-2.0,-8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,
0.862,112.54928063492709,21.441308079291613,1.0,-3.0,1.0,0,0,0,0,0,0,0,0.00,0.10,0.00,
0.875,112.64892806349272,21.098130807929163,5.0,0.0,10.0,0,0,0,0,0,0,0,0.00,0.20,0.00,
0.888,113.03689280634927,20.901813080792913,4.0,0.0,10.0,0,0,0,0,0,0,0,0.00,0.10,0.00,
0.902,113.29168928063493,20.684181308079292,0.0,-1.0,2.0,0,0,0,0,0,0,0,0.00,0.10,0.00,
0.915,113.6951689280635,20.56341813080793,-4.0,-1.0,-4.0,0,0,0,0,0,0,0,0.00,0.29,0.00,
0.929,114.12251689280635,20.434341813080795,-6.0,-2.0,-6.0,0,0,0,0,0,0,0,0.10,0.29,0.00,
0.943,114.84925168928065,20.24143418130808,-5.0,-1.0,-1.0,0,0,0,0,0,0,0,0.10,0.10,0.00,
0.956,115.20092516892805,19.98814341813081,-4.0,0.0,0.0,0,0,0,0,0,0,0,0.20,0.20,0.10,
0.969,114.6600925168928,19.98981434181308,-3.0,-1.0,-3.0,0,0,0,0,0,0,0,0.10,0.20,0.10,
0.983,113.65200925168928,20.097981434181307,-3.0,-1.0,-6.0,0,0,0,0,0,0,0,0.10,0.20,0.10,
0.997,112.85820092516892,20.21679814341813,-1.0,-2.0,-4.0,0,0,0,0,0,0,0,0.10,0.20,0.10,
1.01,112.7338200925169,20.165679814341814,0.0,0.0,2.0,0,0,0,0,0,0,0,0.10,0.20,0.10,
1.024,113.06338200925168,20.106567981434186,0.0,0.0,7.0,0,0,0,0,0,0,0,0.00,0.20,0.10,
1.037,113.78933820092517,19.94765679814342,-2.0,0.0,6.0,0,0,0,0,0,0,0,0.10,0.20,0.00,
1.05,114.53693382009251,19.796765679814346,-5.0,0.0,0.0,0,0,0,0,0,0,0,0.10,0.20,0.00,
1.063,115.07069338200925,19.808676567981436,-8.0,0.0,-7.0,0,0,0,0,0,0,0,0.10,0.20,0.00,
1.077,115.25006933820092,19.899867656798143,-9.0,-1.0,-10.0,0,0,0,0,0,0,0,0.20,0.29,0.10,
1.09,114.6650069338201,20.223986765679815,-7.0,-1.0,-8.0,0,0,0,0,0,0,0,0.10,0.10,0.00,
1.103,113.499500693382,20.67939867656798,-3.0,0.0,-4.0,0,0,0,0,0,0,0,0.10,0.10,0.10,
1.117,112.6629500693382,21.021939867656798,0.0,-2.0,-1.0,0,0,0,0,0,0,0,0.10,0.00,0.10,
1.131,113.17329500693383,20.93919398676568,2.0,-1.0,1.0,0,0,0,0,0,0,0,0.00,0.10,0.10,
1.144,114.05232950069339,20.81391939867657,2.0,0.0,5.0,0,0,0,0,0,0,0,0.00,0.10,0.00,
1.158,114.69823295006933,20.819391939867657,1.0,2.0,3.0,0,0,0,0,0,0,0,0.00,0.10,0.10,
1.171,114.42982329500694,21.044939193986767,-2.0,1.0,-4.0,0,0,0,0,0,0,0,0.10,0.20,0.10,
1.184,113.73698232950069,21.103493919398677,-5.0,0.0,-8.0,0,0,0,0,0,0,0,0.10,0.10,0.10,
1.198,112.98369823295008,21.307349391939866,-3.0,-1.0,-6.0,0,0,0,0,0,0,0,0.10,0.20,0.10,
1.211,113.04336982329501,21.201734939193987,0.0,-1.0,0.0,0,0,0,0,0,0,0,0.10,0.10,0.10,
1.224,113.4093369823295,21.2451734939194,4.0,-1.0,3.0,0,0,0,0,0,0,0,0.00,0.00,0.10,
1.238,113.67993369823294,21.28551734939194,5.0,-1.0,0.0,0,0,0,0,0,0,0,0.00,0.10,0.00,
1.251,113.7789933698233,21.307551734939192,5.0,0.0,-4.0,0,0,0,0,0,0,0,0.10,0.10,0.10,
1.264,113.27589933698232,21.33675517349392,3.0,1.0,-5.0,0,0,0,0,0,0,0,0.10,0.10,0.00,
1.277,112.35258993369824,21.384675517349393,0.0,0.0,-2.0,0,0,0,0,0,0,0,0.10,0.20,0.00,
1.291,111.98125899336982,21.25446755173494,0.0,-1.0,3.0,0,0,0,0,0,0,0,0.10,0.29,0.10,
1.304,112.12412589933697,20.998446755173497,0.0,0.0,6.0,0,0,0,0,0,0,0,0.10,0.20,0.00,
1.317,113.10141258993369,20.76584467551735,1.0,0.0,4.0,0,0,0,0,0,0,0,0.10,0.20,0.00,
1.331,114.08114125899337,20.661584467551734,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0.10,0.20,0.00,
1.344,114.63811412589934,20.741158446755172,-1.0,-1.0,-9.0,0,0,0,0,0,0,0,0.10,0.20,0.10,
1.357,114.17181141258995,21.010115844675518,-2.0,0.0,-11.0,0,0,0,0,0,0,0,0.10,0.20,0.00,
1.372,112.667181141259,21.21701158446755,0.0,0.0,-9.0,0,0,0,0,0,0,0,0.10,0.10,0.00,
1.385,111.4637181141259,21.156701158446754,2.0,-1.0,-2.0,0,0,0,0,0,0,0,0.10,0.10,0.00,
1.398,111.27137181141259,20.952670115844676,4.0,-1.0,6.0,0,0,0,0,0,0,0,0.10,0.20,0.00,
1.412,112.31413718114126,20.617267011584467,5.0,0.0,12.0,0,0,0,0,0,0,0,0.00,0.20,0.00,
1.425,113.66041371811413,20.394726701158447,2.0,0.0,8.0,0,0,0,0,0,0,0,0.10,0.29,0.00,
1.438,114.4160413718114,20.399472670115845,-2.0,1.0,-3.0,0,0,0,0,0,0,0,0.10,0.29,0.10,
1.452,114.30260413718113,20.588947267011584,-8.0,0.0,-12.0,0,0,0,0,0,0,0,0.10,0.20,0.10,
1.465,113.51726041371812,20.83289472670116,-8.0,-1.0,-14.0,0,0,0,0,0,0,0,0.20,0.20,0.00,
1.478,112.67372604137181,20.96528947267012,-5.0,-2.0,-5.0,0,0,0,0,0,0,0,0.20,0.10,0.00,
1.492,112.15737260413718,21.05052894726701,-1.0,-2.0,3.0,0,0,0,0,0,0,0,0.20,0.10,0.00,
1.506,112.25873726041371,21.014052894726703,1.0,-2.0,4.0,0,0,0,0,0,0,0,0.20,0.10,0.00,
1.519,112.95287372604137,20.88440528947267,1.0,0.0,4.0,0,0,0,0,0,0,0,0.10,0.10,0.10,
1.532,113.23828737260413,20.862440528947268,-1.0,1.0,0.0,0,0,0,0,0,0,0,0.10,0.20,0.10,
1.546,113.0868287372604,20.932244052894728,-5.0,0.0,-3.0,0,0,0,0,0,0,0,0.10,0.29,0.10,
1.559,112.62168287372604,21.074224405289474,-8.0,0.0,-4.0,0,0,0,0,0,0,0,0.10,0.29,0.20,
1.572,112.1971682873726,21.124422440528946,-7.0,0.0,-2.0,0,0,0,0,0,0,0,0.20,0.29,0.10,
1.586,111.99271682873726,20.958442244052893,-4.0,-1.0,0.0,0,0,0,0,0,0,0,0.20,0.20,0.00,
1.599,112.08027168287373,20.95984422440529,-2.0,-2.0,0.0,0,0,0,0,0,0,0,0.20,0.20,0.00,
1.612,112.48502716828737,20.98698442244053,-3.0,-3.0,-5.0,0,0,0,0,0,0,0,0.20,0.29,0.10,
1.627,113.05650271682875,21.07069844224405,-4.0,-2.0,-8.0,0,0,0,0,0,0,0,0.20,0.29,0.10,
1.64,113.20365027168287,21.358069844224406,-5.0,-1.0,-10.0,0,0,0,0,0,0,0,0.29,0.29,0.10,
1.653,113.25436502716829,21.674806984422442,-4.0,0.0,-8.0,0,0,0,0,0,0,0,0.29,0.20,0.10,
1.667,112.94443650271683,22.030480698442243,-3.0,-1.0,-7.0,0,0,0,0,0,0,0,0.20,0.29,0.10,
1.681,112.67944365027168,22.21904806984422,-1.0,-2.0,-5.0,0,0,0,0,0,0,0,0.20,0.29,0.20,
1.694,112.82394436502717,22.42690480698442,0.0,-2.0,-4.0,0,0,0,0,0,0,0,0.20,0.29,0.29,
1.708,113.31539443650271,22.798690480698443,2.0,-2.0,-4.0,0,0,0,0,0,0,0,0.29,0.29,0.29,
1.721,114.47153944365027,23.312869048069846,3.0,-2.0,-7.0,0,0,0,0,0,0,0,0.20,0.29,0.20,
1.734,115.95515394436504,24.111286904806985,3.0,0.0,-16.0,0,0,0,0,0,0,0,0.29,0.39,0.29,
1.747,117.84051539443651,25.1631286904807,4.0,0.0,-29.0,0,0,0,0,0,0,0,0.29,0.39,0.29,
1.761,120.51305153944365,26.15031286904807,4.0,2.0,-46.0,0,0,0,0,0,0,0,0.39,0.29,0.29,
1.774,123.17430515394437,27.626031286904805,5.0,0.0,-70.0,0,0,0,0,0,0,0,0.39,0.39,0.29,
1.788,125.43843051539443,29.528603128690477,9.0,4.0,-94.0,0,0,0,0,0,0,0,0.39,0.39,0.20,
1.802,126.97884305153944,31.815860312869045,18.0,7.0,-124.0,0,0,0,0,0,0,0,0.39,0.39,0.10,
1.815,127.86188430515395,34.114586031286905,29.0,9.0,-147.0,0,0,0,0,0,0,0,0.39,0.29,0.00,
1.828,128.33718843051537,36.32445860312869,38.0,13.0,-164.0,0,0,0,0,0,0,0,0.39,0.49,0.00,
1.842,128.38471884305153,38.57944586031287,42.0,8.0,-179.0,0,0,0,0,0,0,0,0.39,0.69,0.00,
1.856,127.83147188430515,41.36094458603129,46.0,1.0,-190.0,0,0,0,0,0,0,0,0.29,0.98,0.00,
1.869,127.4881471884305,43.75409445860313,54.0,-2.0,-198.0,0,0,0,0,0,0,0,0.20,1.18,0.00,
1.883,126.81481471884305,46.49540944586031,58.0,-14.0,-207.0,0,0,0,0,0,1,0,0.10,1.28,0.00,
1.897,125.4694814718843,50.36054094458603,63.0,-27.0,-203.0,0,0,0,0,0,1,0,0.00,1.47,0.00,
1.91,123.21094814718843,55.4180540944586,72.0,-44.0,-189.0,0,0,0,0,0,1,0,0.00,1.77,0.00,
1.925,119.97909481471885,61.62980540944586,84.0,-56.0,-163.0,0,0,0,1,0,1,0,0.00,1.86,0.00,
1.938,116.02890948147189,67.37198054094459,100.0,-71.0,-132.0,0,0,0,1,0,1,0,0.00,1.86,0.00,
1.952,111.70089094814719,72.97719805409446,124.0,-76.0,-82.0,0,0,0,1,0,1,0,0.00,1.86,0.00,
1.966,107.91108909481471,78.45171980540945,151.0,-76.0,-33.0,0,0,0,1,0,1,0,0.00,1.96,0.00,
1.979,105.26410890948146,82.77917198054095,171.0,-66.0,9.0,0,0,0,1,0,1,0,0.00,2.06,0.00,
1.993,103.59541089094814,85.8849171980541,182.0,-64.0,46.0,0,0,0,1,0,1,0,0.00,1.96,0.00,
2.007,102.42954108909481,87.3654917198054,194.0,-54.0,68.0,0,0,0,1,0,1,0,0.00,1.77,0.00,
2.02,102.13295410890947,87.86454917198054,206.0,-44.0,84.0,0,0,0,1,0,0,0,0.00,1.47,0.00,
2.034,101.80629541089095,87.43745491719805,216.0,-32.0,90.0,0,0,0,0,0,0,0,0.00,0.98,0.00,
2.048,101.5396295410891,85.30674549171981,225.0,-23.0,88.0,0,0,0,0,0,0,0,0.00,0.39,0.00,
2.062,101.42296295410891,82.55567454917198,232.0,-14.0,88.0,0,0,0,0,0,0,0,0.00,0.20,0.00,
2.075,101.93329629541088,78.3745674549172,232.0,-10.0,84.0,0,0,0,0,0,0,0,0.00,0.00,0.00,
2.088,102.92932962954109,74.11345674549172,223.0,-14.0,70.0,0,0,0,0,0,0,0,0.00,0.00,0.00,
2.103,103.97393296295412,69.61034567454917,214.0,-18.0,62.0,0,0,0,0,0,0,0,0.00,0.00,0.00,
2.116,104.7983932962954,65.65003456745491,205.0,-24.0,47.0,0,0,0,0,0,0,0,0.00,0.00,0.00,
2.129,105.07883932962955,62.446003456745494,197.0,-25.0,39.0,0,0,0,0,0,0,0,0.00,0.10,0.00,
2.144,105.34988393296295,60.010600345674554,195.0,-27.0,27.0,0,0,0,0,0,0,0,0.00,0.00,0.00,
2.157,105.6109883932963,57.625060034567454,191.0,-15.0,20.0,0,0,0,0,0,0,0,0.00,0.10,0.00,
2.17,106.29409883932964,55.64050600345674,181.0,-10.0,5.0,0,0,0,0,0,0,0,0.00,0.20,0.00,
2.185,107.84740988393297,53.85805060034567,168.0,-12.0,-2.0,0,0,0,0,0,0,0,0.00,0.29,0.00,
