time,t1:pitch,t1:roll,t1:gyrx,t1:gyry,t1:gyrz,t2:pitch,t2:roll,t2:gyrx,t2:gyry,t2:gyrz,k1:pitch,k1:roll,k1:gyrx,k1:gyry,k1:gyrz,k2:pitch,k2:roll,k2:gyrx,k2:gyry,k2:gyrz,W:pitch,W:roll,W:gyrx,W:gyry,W:gyrz,B:pitch,B:roll,B:gyrx,B:gyry,B:gyrz
0.286,-1.4809488799642343,20.981798476282325,0.015267175572519083,0.06870229007633588,0.022900763358778626,27.798532899138305,20.250104582212835,-0.03816793893129771,-0.0,-0.07633587786259542,-6.750064908635182,24.416051250748723,0.007633587786259542,-0.007633587786259542,0.04580152671755725,13.5,13.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.91,58.63,-5.0,0.0,2.0,
0.323,-2.7397554279338334,38.816327181122304,0.015267175572519083,0.06870229007633588,0.022900763358778626,51.427285863405864,37.462693477093744,-0.03816793893129771,-0.0,-0.07633587786259542,-12.487620080975088,45.16969481388514,0.007633587786259542,-0.007633587786259542,0.04580152671755725,38.475000015426,30.974935121359813,-0.007633587786259542,-0.0,0.061068702290076333,0.0,0.0,0.0,0.0,0.0,53.45,63.54,-6.0,0.0,0.0,
0.36,-3.7117305785983907,53.983126007135894,0.0,-0.0,0.022900763358778626,71.5117258830333,52.09339403774251,-0.03816793893129771,-0.0,-0.07633587786259542,-17.364541977464008,62.810291842551095,0.007633587786259542,-0.007633587786259542,0.04580152671755725,59.703750028538096,45.82862997451565,-0.007633587786259542,-0.0,0.061068702290076333,0.0,0.0,0.0,0.0,0.0,57.27,68.06,-7.0,2.0,1.0,
0.398,-4.5379094566632645,66.87490500924744,0.0,-0.0,0.022900763358778626,88.43838349663565,64.39170770887415,-0.04580152671755725,-0.015267175572519083,0.0,-21.50992558947959,77.80479931691715,0.007633587786259542,-0.007633587786259542,0.04580152671755725,77.74818753968339,58.45427059969811,-0.007633587786259542,-0.0,0.061068702290076333,0.0,0.0,0.0,0.0,0.0,60.47,71.49,-3.0,-2.0,0.0,
0.436,-5.240161503018407,77.83291716104226,0.0,-0.0,0.022900763358778626,103.38557988584168,75.43888757599355,0.022900763358778626,0.007633587786259542,0.06870229007633588,-25.033501659692835,90.5501306701283,0.007633587786259542,-0.007633587786259542,0.04580152671755725,93.08595942415687,69.1860651311032,-0.007633587786259542,-0.0,0.061068702290076333,0.0,0.0,0.0,0.0,0.0,63.14,74.86,-8.0,3.0,-1.0,
0.474,-5.837075742420279,87.14722749006785,0.0,-0.0,0.022900763358778626,116.0906968166668,84.82899046304503,0.022900763358778626,0.007633587786259542,0.06870229007633588,-27.894964712657316,101.53179663222718,-0.007633587786259542,-0.022900763358778626,0.0,106.12306552595933,78.30809048279754,-0.007633587786259542,-0.0,0.061068702290076333,0.0,0.0,0.0,0.0,0.0,65.63,77.49,-4.0,1.0,0.0,
0.512,-6.344452845911869,95.0643912697396,0.0,-0.0,0.022900763358778626,126.89004620786817,92.81057791703878,0.022900763358778626,0.007633587786259542,0.06870229007633588,-30.3946387297367,110.77736540691387,-0.015267175572519083,-0.015267175572519083,0.05343511450381679,117.20460571249143,86.06181203173772,-0.007633587786259542,-0.0,0.061068702290076333,0.0,0.0,0.0,0.0,0.0,67.59,79.9,-7.0,4.0,0.0,
0.5509999999999999,-6.775723383879721,101.7939804824606,0.0,-0.0,0.022900763358778626,136.06949319038932,99.59492725293347,0.022900763358778626,0.007633587786259542,0.06870229007633588,-32.519361644254175,118.63609886539756,-0.015267175572519083,-0.015267175572519083,0.05343511450381679,126.62391487104371,92.65247534833686,-0.007633587786259542,-0.0,0.022900763358778626,0.0,0.0,0.0,0.0,0.0,69.19,81.7,-4.0,2.0,0.0,
0.589,-7.142303341152395,107.51413131327344,0.0,-0.0,0.022900763358778626,143.8720231255323,105.36162418844397,0.022900763358778626,0.007633587786259542,0.06870229007633588,-34.32537612159403,125.31602230510869,-0.015267175572519083,-0.015267175572519083,0.05343511450381679,134.63039254130933,98.25453916744614,-0.007633587786259542,0.007633587786259542,0.06870229007633588,0.0,0.0,0.0,0.0,0.0,70.89,83.4,-7.0,4.0,0.0,
0.627,-7.6092201215437765,112.56551398703203,0.0,-0.0,0.007633587786259542,150.50417357040382,110.26331658362788,0.022900763358778626,0.007633587786259542,0.06870229007633588,-35.86048842733291,130.99395722886317,-0.015267175572519083,-0.015267175572519083,0.05343511450381679,141.43589856103512,103.01629341368903,-0.007633587786259542,0.007633587786259542,0.06870229007633588,0.0,0.0,0.0,0.0,0.0,71.95,84.98,-4.0,0.0,0.0,
