time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.37,30.77,53.01,-1.22,-4.12,9.69,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.69,0.2,0.0,
0.394,37.349,63.756,0.93,-4.95,4.22,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.69,0.0,0.0,
0.417,44.14489999999999,73.76759999999999,0.29,1.27,-8.08,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.59,0.0,0.0,
0.441,50.44949,82.54476,-4.07,3.06,-8.74,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.59,0.0,0.0,
0.465,55.588949,90.343476,-7.27,-2.03,0.24,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.59,0.0,0.0,
0.489,59.279894899999995,97.17134760000002,-9.05,-6.38,6.28,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.59,0.0,0.0,
0.513,62.19598949,102.87613476000001,-4.9,-4.98,-0.63,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.69,0.0,0.0,
0.536,65.30459894900001,107.739613476,-1.21,0.12,-9.4,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.78,0.0,0.0,
0.561,68.2524598949,111.7089613476,-5.8,-1.53,-5.44,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.78,0.0,0.0,
0.584,70.15824598949,115.23789613475999,-9.75,-4.48,4.42,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.88,0.0,0.0,
0.608,71.221824598949,118.479789613476,-10.92,-6.96,0.82,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.88,0.0,0.0,
0.632,71.85918245989491,121.4499789613476,-5.69,-4.72,-2.44,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.88,0.0,0.0,
0.656,72.73291824598948,123.91599789613475,-0.09,-4.16,-2.86,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.88,0.0,0.0,
0.679,74.16129182459893,125.63859978961347,0.22,-0.23,-1.11,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.88,0.0,0.0,
0.704,75.5821291824599,126.88185997896134,-0.01,5.17,1.82,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.98,0.0,0.0,
0.728,76.53421291824598,128.08618599789614,-3.12,1.5,7.65,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.98,0.0,0.0,
0.751,76.86342129182461,129.1066185997896,-3.41,-0.79,8.74,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.08,0.0,0.0,
0.775,77.11234212918247,130.14466185997895,-1.06,-1.5,0.88,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.08,0.0,0.0,
0.798,77.64123421291825,130.7794661859979,-1.96,-1.47,-5.46,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.18,0.0,0.0,
0.822,78.60312342129183,131.1579466185998,-1.89,0.3,-1.82,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.18,0.0,0.0,
0.845,79.47331234212918,131.50179466185998,-4.56,1.34,3.78,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.18,0.0,0.0,
0.87,79.72233123421292,131.860179466186,-6.33,-0.4,2.5,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.18,0.0,0.0,
0.893,79.81923312342128,132.3730179466186,-6.44,-2.4,-0.6,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.08,0.0,0.0,
0.917,79.99992331234213,132.87430179466187,-5.79,-3.6,-4.36,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.18,0.0,0.0,
0.941,80.41399233123421,133.0684301794662,-6.89,-3.74,-3.07,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.18,0.0,0.0,
0.964,80.77939923312341,133.36684301794662,-5.85,-0.61,0.56,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.18,0.0,0.0,
0.989,80.84293992331234,133.94568430179464,-3.63,-0.43,1.77,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.08,0.0,0.0,
1.012,80.69629399233125,134.34556843017947,-2.18,-0.94,2.28,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.08,0.0,0.0,
1.036,80.68162939923313,134.40355684301795,-2.59,-0.06,-1.07,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.18,0.0,0.0,
1.059,80.71616293992331,134.3913556843018,-4.09,-0.73,-0.47,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.18,0.0,0.0,
1.083,80.77361629399233,134.32713556843018,-3.38,0.85,0.31,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.18,0.0,0.0,
1.106,80.90536162939924,134.518713556843,-4.15,-0.53,2.19,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.28,0.0,0.0,
1.131,80.72953616293992,134.73587135568428,-1.96,-1.69,2.52,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.18,0.0,0.0,
1.155,80.73895361629398,134.76658713556844,-0.56,-0.39,0.42,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.18,0.0,0.0,
1.178,81.04589536162939,134.62565871355685,-2.95,-0.92,0.52,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.18,0.1,0.0,
1.202,81.25658953616293,134.4765658713557,-4.04,0.63,0.12,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.18,0.39,0.0,
1.225,81.1336589536163,134.80365658713558,-4.8,-1.29,-0.71,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.18,1.18,0.0,
1.25,81.06736589536163,135.00736565871355,-6.1,-6.84,0.92,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.28,1.77,0.0,
1.273,81.16873658953617,134.83873656587136,-2.44,-2.73,-1.82,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.18,2.26,0.0,
