time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.415,31.68,80.23,-7.29,-2.59,-2.15,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,
0.439,35.28,89.122,-5.63,-0.47,-3.92,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,
0.462,39.086999999999996,97.7692,-3.52,0.71,-0.83,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,
0.486,42.3747,105.00592,0.45,2.67,4.82,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,
0.509,45.016470000000005,110.877592,-1.41,1.18,4.29,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.1,0.0,0.0,
0.533,46.855647000000005,115.9647592,-2.95,1.25,-0.87,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,
0.557,48.19156470000001,120.37947592,-2.17,1.27,-8.08,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.1,0.0,0.0,
0.58,48.86515647,124.447947592,-4.98,-6.4,-9.57,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,
0.604,49.283515647,127.77079475919999,-7.63,-12.51,-8.79,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,
0.628,49.7303515647,130.58707947592,-5.34,-4.26,-8.69,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,
0.652,50.25203515647,132.929707947592,-6.11,-1.27,-4.19,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,
0.675,50.619203515647,135.0449707947592,-5.46,-0.25,1.86,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.1,0.0,0.0,
0.699,50.75492035156471,136.90349707947593,-4.11,2.02,1.34,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.1,0.0,0.0,
0.722,50.84949203515647,138.5833497079476,-4.3,-2.67,-2.3,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.1,0.0,0.0,
0.747,51.18294920351565,139.93033497079477,-4.71,-5.27,-4.2,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.2,0.0,0.0,
0.771,51.85529492035157,140.83003349707948,-2.69,-5.04,-4.36,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.1,0.0,0.0,
0.794,52.51652949203516,141.63100334970795,-4.42,-4.39,-2.31,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.1,0.0,0.0,
0.818,53.29365294920352,142.3411003349708,-2.76,0.56,0.52,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.1,0.0,0.0,
0.842,53.83936529492035,143.08711003349705,2.0,2.39,2.65,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.2,0.0,0.0,
0.866,54.28993652949204,143.55771100334974,0.15,-1.53,4.29,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.2,0.0,0.0,
0.889,54.631993652949205,143.63177110033496,-1.37,-1.56,0.8,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.2,0.0,0.0,
0.913,54.97219936529492,143.7831771100335,1.4,3.27,-2.66,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.29,0.0,0.0,
0.936,54.88921993652949,144.22131771100337,-3.76,-1.9,-0.56,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.49,0.0,0.0,
0.96,54.38592199365294,144.67013177110033,-6.61,-5.82,0.76,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.49,0.0,0.0,
0.984,53.975592199365295,145.12001317711002,-2.05,-2.82,-0.76,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.49,0.0,0.0,
1.007,53.772559219936525,145.30900131771102,0.13,-3.41,-0.4,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.49,0.0,0.0,
1.032,53.455255921993654,145.57090013177108,0.09,-0.51,1.18,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.49,0.0,0.0,
1.055,53.342525592199365,145.8580900131771,-0.79,-0.37,1.11,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.59,0.0,0.0,
1.079,53.50225255921994,146.30980900131772,-1.53,-0.9,1.56,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.59,0.0,0.0,
1.102,53.74322525592199,146.57098090013176,-3.07,-2.0,2.11,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.59,0.0,0.0,
1.126,54.0733225255922,146.42609809001317,-1.45,1.09,1.16,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
1.149,54.46633225255921,146.4296098090013,0.56,2.11,-0.43,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
1.173,54.73963322525593,146.35796098090015,-5.18,-2.75,0.27,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.59,0.0,0.0,
1.197,55.090963322525596,145.93679609808999,-3.52,-1.95,0.67,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
1.221,55.19809633225256,145.606679609809,-2.05,0.16,-1.12,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.59,0.0,0.0,
1.245,55.20880963322526,145.45666796098092,-5.5,2.43,-2.18,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.59,0.0,0.0,
1.268,55.344880963322524,145.7386667960981,-0.82,3.26,-1.11,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
1.292,55.34948809633226,145.9018666796098,-2.76,-2.56,0.53,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
1.315,55.34094880963323,145.783186667961,-6.0,-3.85,-0.73,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
1.339,55.31309488096333,145.8073186667961,-4.08,-0.66,-2.37,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
1.363,55.094309488096336,146.0887318666796,-5.19,-1.82,-3.89,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
1.387,54.82043094880963,146.46787318666796,-5.05,-3.38,-4.19,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
1.411,54.76604309488096,146.71278731866678,-0.59,-0.98,-1.4,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
1.434,54.7426043094881,146.80927873186667,-0.76,-0.94,1.33,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.59,0.0,0.0,
1.459,54.78526043094881,146.7019278731867,-3.13,0.37,2.15,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
1.482,54.51052604309488,146.66419278731865,-2.79,1.41,2.75,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.59,0.0,0.0,
1.506,53.99705260430949,146.97541927873186,-3.63,-2.05,0.36,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.1,0.0,
1.529,53.45070526043095,147.0695419278732,-4.17,-5.43,0.79,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.1,0.0,
1.553,53.2970705260431,146.94395419278734,-0.35,0.81,0.26,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
1.576,53.713707052604306,146.81439541927872,-0.42,3.97,-1.19,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.1,0.0,
1.6,53.78237070526043,146.84643954192785,-5.25,-3.17,2.8,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.59,0.0,0.0,
1.624,53.62723707052604,146.7776439541928,-6.69,-5.82,1.43,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
1.648,53.7017237070526,146.55476439541928,-2.81,-1.32,-4.63,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
1.672,54.13217237070526,146.37947643954195,-3.35,-0.6,-2.87,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
1.695,54.58921723707053,146.2539476439542,-6.87,-1.47,0.12,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
1.719,54.93192172370705,146.11539476439543,-5.98,-2.0,-0.64,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
1.742,54.78619217237071,146.20053947643953,-3.85,-2.0,-2.96,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.59,0.1,0.0,
1.767,54.81661921723707,146.18205394764396,-5.62,-4.41,-3.5,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.1,0.0,
1.79,55.28766192172371,146.1352053947644,-2.95,0.53,-2.09,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
1.814,55.532766192172375,146.12152053947645,-3.11,2.6,0.71,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
1.838,55.34127661921724,146.27315205394765,-5.08,-0.39,1.66,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.59,0.0,0.0,
1.861,54.96212766192173,146.42331520539474,-4.78,-0.97,0.31,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
1.886,54.59121276619217,146.47433152053947,-1.8,-1.11,-2.13,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.59,0.0,0.0,
1.909,54.35612127661921,146.56943315205396,-2.1,0.5,-2.27,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.59,0.0,0.0,
1.933,54.32361212766192,146.6419433152054,-2.19,0.21,0.91,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
1.956,54.24836121276619,146.65819433152055,-3.26,-0.42,4.08,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.59,0.0,0.0,
1.98,53.86283612127662,146.62381943315205,-4.76,-2.65,2.34,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
2.003,53.590283612127664,146.6743819433152,-2.05,-1.0,-1.88,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
2.028,53.68002836121276,146.78743819433151,-0.21,-1.73,-4.21,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
2.052,53.86900283612128,146.71774381943317,-3.47,-4.08,0.4,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.1,0.0,
2.075,53.896900283612126,146.48577438194334,-4.48,-3.91,1.34,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.59,0.0,0.0,
2.099,54.04369002836121,146.40857743819436,-3.79,-0.34,-2.38,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.59,0.0,0.0,
2.122,54.27436900283612,146.62585774381944,-1.73,-0.6,-3.53,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.1,0.0,
2.147,54.51343690028361,146.81858577438194,-0.85,-4.19,-0.12,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.1,0.0,
2.17,54.80734369002836,146.7208585774382,-2.37,-3.53,3.09,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
2.194,55.18773436900283,146.47708585774382,-1.45,0.42,2.88,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
2.217,55.37877343690028,146.30870858577438,-0.59,4.09,1.83,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
2.241,55.35287734369003,146.39087085857744,-1.64,2.07,0.78,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.1,0.0,
2.265,55.251287734369,146.33608708585774,-4.63,-3.5,1.31,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
2.288,55.1421287734369,146.01560870858577,-2.55,-1.89,-0.98,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
2.313,55.284212877343684,145.95656087085857,-0.68,3.23,-3.02,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.59,0.1,0.0,
2.336,55.45142128773437,146.01365608708585,-5.84,-0.21,1.29,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.59,0.1,0.0,
2.36,55.31514212877343,146.0373656087086,-5.68,-0.94,4.08,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
2.383,54.75251421287734,146.26473656087086,-4.19,-0.72,-0.28,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
2.407,54.34525142128773,146.3594736560871,-2.19,-1.25,-4.26,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.1,0.0,
2.432,54.664525142128774,146.21594736560868,-2.63,0.77,-4.15,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
2.455,54.82245251421288,146.07559473656087,-6.45,-2.04,0.35,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.0,0.0,
2.479,54.43324525142128,146.3495594736561,-6.2,-2.09,-0.96,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.59,0.0,0.0,
2.502,54.025324525142125,146.5209559473656,-3.28,-3.31,-2.53,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.69,0.1,0.0,
2.526,54.24553245251421,146.47509559473656,-2.93,-0.94,-1.69,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.59,0.2,0.0,
2.55,54.681553245251415,146.39850955947367,-3.95,1.73,-2.53,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.59,0.1,0.0,
2.574,54.27515532452514,146.72385095594737,-4.6,-2.34,-1.61,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.49,0.1,0.0,
2.597,53.83851553245251,146.76538509559475,-5.53,-5.82,-5.03,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.39,0.1,0.0,
2.621,54.02885155324525,146.56253850955946,-7.75,5.35,-10.07,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.2,0.1,0.0,
