time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.427,60.44,82.51,2.85,1.82,-30.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,16.68,0.0,
0.45,65.363,90.331,10.3,6.4,-32.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.98,0.0,
0.474,69.9683,98.18710000000002,18.9,3.91,-19.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.49,0.0,
0.497,73.68683,105.29070999999999,20.76,-2.43,-21.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.49,0.0,
0.521,75.867683,111.66207100000001,5.98,-2.6,-14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.49,0.0,
0.544,77.5257683,116.8982071,-10.46,8.6,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.49,0.0,
0.568,78.59157683,121.37282071,-4.43,6.59,5.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,
0.591,79.11215768299999,125.393282071,13.08,4.68,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,
0.615,79.5962157683,128.9633282071,24.61,-1.18,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,
0.638,80.22062157683001,131.75933282071,15.6,2.02,12.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,
0.662,80.346062157683,133.514933282071,5.06,4.77,19.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.39,0.0,
0.686,80.79960621576829,135.0044933282071,6.68,3.84,16.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.29,0.0,
0.709,81.79896062157682,136.4944493328207,13.34,5.66,14.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0,
0.733,82.97889606215769,137.85844493328204,18.05,5.73,16.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0,
0.756,83.42088960621577,138.67884449332823,18.96,1.04,13.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.29,0.0,
0.78,83.99608896062159,139.72388444933284,9.81,-4.08,9.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.29,0.0,
0.803,84.83660889606217,140.5303884449333,-1.35,-2.52,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.29,0.0,
0.827,85.72166088960621,140.99803884449332,-5.2,1.19,7.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.29,0.0,
0.851,86.04416608896061,141.58480388444934,-6.24,-1.49,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.39,0.0,
0.875,85.99541660889605,141.89548038844495,-8.8,-2.24,-7.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.29,0.0,
0.899,86.3865416608896,142.44854803884448,-10.26,-2.4,-11.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0,
0.922,86.52465416608896,142.93585480388444,-11.03,-3.4,-9.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,
0.947,86.65546541660889,143.36258548038842,-9.11,-3.03,-3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,
0.97,86.60554654166089,143.95425854803887,-4.33,-5.88,-4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.29,0.0,
0.994,86.69955465416609,144.70642585480388,-6.89,-8.79,-5.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,
1.017,87.3389554654166,145.0966425854804,-10.32,-5.05,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,
1.042,87.96989554654166,145.09066425854806,-6.6,-7.24,-2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,
1.065,88.47398955465417,145.2700664258548,-6.18,-5.83,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,
1.089,89.44239895546542,145.54000664258547,-2.93,-2.65,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,
1.113,90.19623989554655,145.67500066425856,1.28,-3.67,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,
1.136,90.42462398955465,145.72450006642583,-0.4,-1.21,-1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,
1.161,90.69946239895548,145.78345000664257,-0.89,1.76,-4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,
1.184,90.69994623989555,145.89734500066425,1.98,2.03,-3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,
1.208,90.06999462398956,145.93573450006642,2.44,0.92,-4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,
1.231,89.26899946239897,145.85857345000662,-0.92,0.24,-6.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,
1.255,88.8558999462399,145.75185734500067,-5.81,1.66,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,
1.278,88.20258999462398,145.68718573450008,-3.95,-1.48,-1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,
1.302,87.2912589994624,145.83371857345,-4.33,-5.63,-4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,
1.327,86.84012589994624,145.875371857345,-9.07,-3.16,-2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,
1.35,86.99301258999463,145.75353718573453,-8.03,-2.95,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.29,0.0,
1.374,87.10730125899946,145.82235371857345,-5.31,-4.36,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,
1.397,87.28973012589995,146.00023537185734,-6.82,-4.13,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,
1.422,87.29897301258998,146.00902353718573,-10.17,-6.36,-1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,
1.445,87.398897301259,145.7669023537186,-9.52,-3.0,-1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,
1.469,87.9668897301259,145.86869023537184,-2.85,-0.63,-1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,
1.494,88.4196889730126,145.9238690235372,1.63,-0.45,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,
1.517,88.59096889730125,145.98338690235374,0.66,0.05,4.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,
1.541,88.42809688973013,145.9893386902354,-1.82,-2.49,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.29,0.0,
1.564,87.997809688973,145.91793386902353,-4.76,-1.3,-0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.29,0.0,
1.588,87.7297809688973,145.91079338690233,-3.59,1.9,-1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,
1.611,87.91897809688973,145.88307933869024,0.12,-0.65,-2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,
1.635,87.86589780968897,145.91630793386904,0.36,-2.5,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,
1.659,87.9055897809689,145.93763079338692,-0.89,0.17,4.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,
1.683,87.98155897809688,145.85876307933867,1.37,-0.75,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,
1.707,87.9711558978097,145.93187630793386,0.43,-3.18,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,
1.73,87.70911558978098,145.97518763079339,-3.76,-1.92,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.29,0.0,
1.754,87.79991155897811,145.88951876307934,-4.74,-0.98,-3.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.29,0.0,
1.777,88.0699911558978,145.95295187630794,-2.03,-0.35,-4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.29,0.0,
1.802,88.22299911558977,146.1302951876308,-1.9,1.49,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.29,0.0,
1.825,88.29229991155897,146.24702951876307,-2.98,0.14,2.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,
1.849,87.9482299911559,146.23170295187631,-3.85,-1.24,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.29,0.0,
1.872,87.72482299911559,146.14017029518763,-4.05,-1.25,-0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.29,0.0,
1.896,87.54048229991156,146.08601702951876,-4.78,0.41,-2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.39,0.0,
1.921,87.52204822999116,146.13460170295184,-4.89,0.71,-0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.39,0.0,
1.944,87.78120482299913,146.1754601702952,-4.76,-1.83,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.29,0.0,
1.968,87.7711204822999,146.11654601702955,-6.11,-1.78,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.29,0.0,
1.991,87.86911204823,146.06565460170296,-5.89,-0.06,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.39,0.0,
2.015,87.986911204823,146.0065654601703,-2.41,-0.92,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.29,0.0,
2.038,87.9176911204823,145.90165654601702,-0.1,-1.92,-0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.29,0.0,
2.063,87.83876911204823,145.8461656546017,-2.98,-1.51,-1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.29,0.0,
2.086,87.99287691120483,145.84961656546017,-6.3,-0.8,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.29,0.0,
2.11,87.79228769112048,145.80496165654603,-5.18,-0.03,-0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.29,0.0,
2.134,87.55622876911205,145.80049616565464,-2.64,-1.87,-2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.29,0.0,
2.158,87.4336228769112,145.84504961656546,-4.74,-0.76,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,
2.182,87.52036228769111,145.77750496165655,-6.24,-0.45,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.39,0.0,
2.205,87.32203622876911,145.67175049616566,-6.5,-3.0,-0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.29,0.0,
2.229,87.2752036228769,145.40017504961656,-9.59,-2.12,-0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,
2.253,87.5945203622877,145.18401750496167,-9.66,-1.64,-2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,
2.277,87.90545203622877,145.09040175049617,-8.7,-2.15,-0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,
2.3,88.46754520362288,145.0720401750496,-9.79,-0.74,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,
2.324,89.82875452036228,144.81820401750497,-17.63,-1.47,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,
2.349,90.92787545203622,143.9738204017505,-26.49,-8.23,-0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,
2.372,91.37978754520363,142.76438204017504,-32.63,-8.85,-8.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,
2.396,90.65097875452035,141.7704382040175,-31.52,2.26,-12.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,
2.419,89.22809787545202,141.69804382040175,-24.99,4.64,-19.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,
2.444,88.16780978754521,141.96080438204018,-22.49,5.69,-22.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,
2.467,87.37778097875453,142.257080438204,-27.56,-5.91,-25.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,
2.492,86.33577809787545,142.01670804382042,-37.15,-7.32,-17.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,
2.515,85.48457780978754,141.41667080438205,-37.7,-4.33,-6.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,
2.539,85.62445778097876,139.7096670804382,-38.65,-3.81,4.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,
2.564,85.49444577809788,135.34496670804384,-48.05,0.79,16.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,
2.587,86.4084445778098,130.16549667080437,-71.47,-7.01,10.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,
2.611,87.19284445778098,126.55154966708045,-118.73,5.94,22.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,
2.634,88.8102844457781,121.67215496670804,-130.16,23.27,42.39,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2.659,89.8090284445778,116.13521549667081,-138.89,21.94,43.14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2.682,90.08890284445778,109.86652154966708,-163.45,11.5,14.24,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2.707,88.35289028444578,104.2806521549667,-175.02,-21.08,-42.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,
2.731,86.30728902844457,100.17606521549668,-181.63,-4.79,-74.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,
2.755,85.13972890284445,97.72260652154966,-165.67,0.26,-91.37,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,
2.779,84.51897289028446,96.60426065215498,-147.44,-32.05,-94.47,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,
2.802,84.92489728902845,96.8524260652155,-144.4,-20.92,-52.05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2.827,85.91948972890285,97.19224260652155,-137.36,-1.58,-9.56,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,
2.85,86.70294897289028,97.77522426065217,-125.02,-0.39,23.23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,
2.874,86.19629489728902,98.51752242606521,-124.73,-9.39,19.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.29,0.0,
2.897,84.84062948972891,99.47375224260652,-116.17,-0.25,12.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,
2.921,82.6710629489729,101.18937522426066,-95.75,12.06,-0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,
2.946,80.29410629489729,103.93493752242607,-91.26,6.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,
2.969,78.62541062948974,107.1344937522426,-79.31,-1.89,-1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,
2.993,78.67454106294899,110.16344937522426,-66.21,-15.79,11.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,
3.016,78.4994541062949,112.13134493752241,-47.65,-30.43,24.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,
3.041,79.79594541062949,109.30413449375223,105.46,-27.74,-66.48,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.49,0.0,
3.064,84.74059454106296,105.92541344937523,49.73,3.27,-33.16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.39,0.0,
3.089,85.62205945410629,105.19154134493752,53.46,8.68,8.05,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.78,0.0,
3.112,84.35120594541063,104.83015413449375,46.76,0.74,16.37,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.29,3.24,0.0,
3.136,82.12712059454105,102.97601541344937,-10.3,38.99,5.62,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.39,3.92,0.0,
3.16,83.4347120594541,97.90360154134494,-12.73,-16.79,-5.77,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.59,3.53,0.0,
3.184,86.0044712059454,94.91236015413449,6.78,34.71,3.12,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.39,3.34,0.0,
3.208,86.11744712059453,93.73123601541344,13.4,-8.43,18.6,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.69,3.43,0.0,
3.231,85.87674471205945,93.04612360154134,2.19,-7.13,6.85,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.88,3.83,0.0,
3.256,85.17767447120595,91.95161236015414,-6.26,-3.05,-0.17,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.69,3.83,0.0,
3.279,85.07176744712059,90.95116123601541,-2.28,-5.09,-0.79,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.29,3.63,0.0,
3.303,85.42117674471206,90.31111612360154,-2.1,-1.95,-0.16,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,3.43,0.0,
3.328,85.3931176744712,89.78811161236015,-3.14,-4.5,0.21,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,3.53,0.0,
3.351,85.13831176744712,89.29481116123601,-4.26,-4.1,-0.74,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,3.53,0.0,
3.375,85.18483117674472,88.69648111612359,-3.05,-2.65,1.51,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.2,3.04,0.0,
3.399,85.42348311767446,88.28564811161235,-2.53,-7.14,-0.74,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.59,2.55,0.0,
3.423,85.40234831176745,87.97456481116123,-4.36,-7.94,-1.45,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.69,2.55,0.0,
3.447,84.98623483117674,87.75445648111614,-5.53,-2.76,-0.57,0.0,0.0,2.0,4.0,0.0,2.0,0.0,0.98,2.75,0.0,
3.471,84.72862348311767,87.48044564811161,-5.4,-0.7,1.85,0.0,0.0,2.0,4.0,0.0,2.0,0.0,1.18,3.04,0.0,
3.495,84.84686234831176,87.21004456481117,-4.7,2.6,3.49,0.0,0.0,2.0,3.0,1.0,2.0,0.0,1.47,3.24,0.0,
3.519,85.00268623483117,87.03000445648112,-5.11,4.56,4.26,0.0,0.0,2.0,3.0,1.0,2.0,0.0,1.77,3.43,0.0,
3.543,84.99126862348311,86.94900044564811,-5.18,2.57,3.66,0.0,0.0,2.0,3.0,1.0,2.0,0.0,1.96,3.63,0.0,
