time,t1:pitch,t1:roll,t1:gyrx,t1:gyry,t1:gyrz,t2:pitch,t2:roll,t2:gyrx,t2:gyry,t2:gyrz,k1:pitch,k1:roll,k1:gyrx,k1:gyry,k1:gyrz,k2:pitch,k2:roll,k2:gyrx,k2:gyry,k2:gyrz,W:pitch,W:roll,W:gyrx,W:gyry,W:gyrz,B:pitch,B:roll,B:gyrx,B:gyry,B:gyrz
0.28400000000000003,13.5,13.5,0.0,-0.0,0.0,13.5,13.5,0.0,-0.0,0.0,13.5,13.5,0.0,-0.0,0.0,26.992213755884013,19.498896953420886,-0.1297709923664122,-0.916030534351145,0.12213740458015267,90.0,90.0,0.0,0.0,0.0,38.97,64.58,-4.0,15.0,27.0,
0.317,24.975,24.975,0.0,-0.0,0.0,24.975,24.975,0.0,-0.0,0.0,24.975,24.975,0.0,-0.0,0.0,49.93559544838543,36.07295936382863,-0.1297709923664122,-0.916030534351145,0.12213740458015267,90.0,90.0,0.0,0.0,0.0,41.47,69.92,-37.0,8.0,49.0,
0.351,34.728750000000005,34.728750000000005,0.0,-0.0,0.0,34.728750000000005,34.728750000000005,0.0,-0.0,0.0,34.728750000000005,34.728750000000005,0.0,-0.0,0.0,69.42994316945438,38.165454383696044,0.40458015267175573,-1.8015267175572518,0.42748091603053434,90.0,90.0,0.0,0.0,0.0,44.03,73.48,-11.0,-28.0,0.0,
0.386,43.0194375,43.0194375,0.0,-0.0,0.0,43.0194375,43.0194375,0.0,-0.0,0.0,43.0194375,43.0194375,0.0,-0.0,0.0,86.00013873236298,39.944075150583345,0.40458015267175573,-1.8015267175572518,0.42748091603053434,90.0,90.0,0.0,0.0,0.0,48.32,77.21,0.0,-16.0,25.0,
0.42000000000000004,50.066521875,50.066521875,0.0,-0.0,0.0,50.066521875,50.066521875,0.0,-0.0,0.0,29.094721450738188,61.25451477337493,-0.37404580152671757,1.1374045801526718,-0.16030534351145037,100.0848049608353,41.45590280243755,0.40458015267175573,-1.8015267175572518,0.42748091603053434,90.0,90.0,0.0,0.0,0.0,50.88,81.12,19.0,-46.0,-15.0,
0.45599999999999996,56.05654359375,56.05654359375,0.0,-0.0,0.0,56.05654359375,56.05654359375,0.0,-0.0,0.0,17.258712808865653,76.75433045574363,-0.37404580152671757,1.1374045801526718,-0.16030534351145037,112.05677125503676,42.740956306513624,0.40458015267175573,-1.8015267175572518,0.42748091603053434,90.0,90.0,0.0,0.0,0.0,52.81,84.14,10.0,-28.0,2.0,
0.491,61.1480620546875,61.1480620546875,0.0,-0.0,0.0,61.1480620546875,61.1480620546875,0.0,-0.0,0.0,7.198105463273997,89.929173785757,-0.37404580152671757,1.1374045801526718,-0.16030534351145037,122.23294260510801,43.83325178497829,0.40458015267175573,-1.8015267175572518,0.42748091603053434,90.0,90.0,0.0,0.0,0.0,53.76,86.11,-13.0,2.0,3.0,
0.527,49.86258451061049,76.34624707257599,0.22900763358778625,-0.44274809160305345,0.22900763358778625,65.47585274648438,65.47585274648438,0.0,-0.0,0.0,-1.3534107804789102,101.12779061626837,-0.37404580152671757,1.1374045801526718,-0.16030534351145037,130.88268825266857,44.76170294167325,0.40458015267175573,-1.8015267175572518,0.42748091603053434,90.0,90.0,0.0,0.0,0.0,56.75,88.17,-25.0,0.0,14.0,
0.565,39.43823123119775,88.0778405615169,0.0916030534351145,-0.12213740458015267,0.12213740458015267,69.15447483451172,69.15447483451172,0.0,-0.0,0.0,-8.62219958766888,110.64661492220304,-0.37404580152671757,1.1374045801526718,-0.16030534351145037,138.23497205309505,45.55088642486397,0.40458015267175573,-1.8015267175572518,0.42748091603053434,90.0,90.0,0.0,0.0,0.0,58.69,90.27,1.0,-4.0,-2.0,
0.603,31.407281920924266,98.36039795866472,0.07633587786259542,-0.17557251908396945,-0.05343511450381679,72.28130360933496,72.28130360933496,0.0,-0.0,0.0,-14.800670073780356,118.73761558224751,-0.37404580152671757,1.1374045801526718,-0.16030534351145037,144.48441328345757,46.221692385576084,0.40458015267175573,-1.8015267175572518,0.42748091603053434,90.0,90.0,0.0,0.0,0.0,58.63,92.26,2.0,5.0,1.0,
