time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.435,57.7,86.96,-3.24,-1.31,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.458,62.299,94.03399999999999,-6.98,-0.21,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.482,66.43990000000001,100.6814,-6.15,-0.5,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.505,70.11198999999999,106.44914,-3.56,-1.31,-2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.529,73.19719900000001,111.417914,-3.25,-0.64,-1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.553,75.9537199,115.57779140000001,-4.63,-0.73,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.577,78.07437199,119.09877913999999,-5.56,-1.11,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.601,79.90643719900001,122.08787791399999,-5.98,-0.98,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.624,81.58364371990001,124.4657877914,-3.39,-1.68,-0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.648,83.00236437199,126.77357877914,-2.84,-1.6,-0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.671,84.17023643719901,128.59735787791402,-4.61,-1.28,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.696,85.3670236437199,130.0397357877914,-5.52,-3.13,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.719,86.251702364372,131.32697357877913,-9.28,-2.31,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.743,87.0421702364372,132.39169735787792,-8.85,-1.18,-1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.766,87.89521702364372,133.3621697357878,-5.18,-2.16,-2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.791,88.55652170236436,134.22421697357876,-5.64,-1.44,-1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.815,88.94665217023643,134.85042169735786,-5.87,-1.79,-1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.838,89.35466521702365,135.3990421697358,-6.58,-2.36,-2.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.862,89.62046652170237,135.85890421697357,-6.6,-1.83,-2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.886,89.83604665217023,136.23789042169736,-4.62,-1.83,-1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.91,90.07360466521702,136.4827890421697,-4.32,-1.63,-1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.933,90.2233604665217,136.69627890421697,-5.32,-1.82,-1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.957,90.35533604665218,136.88862789042167,-6.76,-1.02,-0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.98,90.36853360466523,136.98886278904217,-5.11,-1.63,-1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.005,90.27985336046652,137.1788862789042,-4.85,-1.87,-2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.029,90.25298533604666,137.37788862789043,-5.64,-2.03,-2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.052,90.50229853360467,137.47878886278906,-4.15,-2.44,-2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.076,90.63522985336047,137.5338788862789,-3.88,-0.19,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1,90.77452298533606,137.6023878886279,-3.32,-0.85,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.124,90.7164522985336,137.6992387888628,-3.77,-1.44,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.147,90.82764522985336,137.74492387888628,-5.37,-1.41,-1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.171,90.78476452298533,137.82149238788864,-3.8,-0.06,-2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.195,90.82547645229853,138.00014923878888,-1.56,-0.83,-2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.219,90.87454764522985,138.02701492387888,-1.03,-1.05,-0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.243,90.771454764523,138.1197014923879,-3.1,-0.11,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.266,90.63514547645231,138.21897014923877,-4.97,0.82,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.29,90.65751454764522,138.22889701492386,-0.83,-0.55,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.313,90.60575145476452,138.22988970149237,0.8,-1.44,-0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.337,90.44757514547646,138.21198897014924,-1.6,-0.4,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.361,90.33275751454764,138.12919889701493,-3.08,-1.24,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.385,90.31227575145478,138.1929198897015,-5.24,-1.27,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.409,90.49922757514548,138.06429198897015,-2.38,-1.37,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.432,90.58092275751456,137.85342919889703,0.05,-2.06,-1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.456,90.50809227575145,137.8323429198897,-6.05,-1.29,-0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.48,90.49180922757515,137.79423429198897,-9.89,-1.31,-0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.504,90.62518092275752,137.5834234291989,-8.13,-2.33,-0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.527,90.91751809227576,137.34634234291988,-6.08,-3.19,-1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.551,91.24375180922758,136.96263423429198,-9.87,-2.39,-1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.575,91.18637518092277,136.7082634234292,-21.33,1.68,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.599,90.90163751809227,136.25082634234292,-28.11,3.85,1.47,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
1.623,90.29716375180924,135.5120826342343,-23.95,1.05,-6.27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,
1.646,89.82271637518092,134.55620826342343,-20.42,-4.01,-12.33,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,
1.671,89.77527163751807,132.35462082634234,-27.5,-3.49,-8.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,
1.694,90.1035271637518,129.89346208263424,-48.92,-0.89,1.43,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,
1.718,90.38835271637518,128.8463462082634,-79.27,6.67,13.76,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
1.741,90.44383527163751,127.85963462082634,-84.61,9.63,17.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
1.766,90.31438352716374,126.92396346208263,-66.99,4.96,7.82,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
1.789,90.42743835271636,125.95739634620826,-48.96,-2.46,-6.35,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
1.813,91.23074383527164,125.02373963462082,-53.77,-1.79,-4.03,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
1.837,92.02207438352715,123.87737396346208,-68.57,5.68,7.66,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
1.861,92.79420743835271,123.32173739634622,-77.3,8.82,15.26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
1.885,92.72742074383528,123.83317373963462,-76.05,10.88,16.59,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
1.908,92.85574207438354,122.73231737396347,-54.12,3.71,6.49,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
1.932,92.97657420743835,121.18223173739635,-40.25,-6.44,-9.67,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
1.956,93.19565742074383,118.99322317373964,-48.75,0.67,-4.17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
1.98,93.37056574207438,116.44332231737395,-67.92,5.02,-1.83,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2.003,93.10005657420743,115.3423322317374,-87.36,13.98,3.97,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2.028,92.74900565742074,114.76423322317375,-81.47,17.9,4.69,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2.052,91.98490056574208,114.28342332231738,-58.4,5.66,-10.27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2.076,91.3594900565742,113.21834233223173,-48.45,-5.44,-16.68,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2.1,90.78394900565742,111.49183423322317,-52.47,-6.67,-12.37,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2.124,90.61839490056573,109.18618342332232,-59.32,-6.73,-4.73,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2.148,90.35883949005657,107.90261834233223,-65.73,-4.86,1.98,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2.171,90.50388394900565,106.60426183423321,-72.17,0.63,12.16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2.196,90.92338839490057,105.36742618342333,-68.24,0.02,11.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2.22,91.22633883949005,104.08274261834234,-59.55,-4.12,7.95,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2.243,91.13063388394902,102.52327426183423,-53.55,-9.06,2.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2.268,90.8420633883949,101.71032742618343,-56.05,-11.73,0.46,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2.291,90.5702063388395,101.53903274261833,-60.18,-11.44,2.53,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.0,
2.315,90.77702063388395,101.53090327426185,-56.49,-14.44,1.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.0,
2.339,91.39170206338838,99.64909032742618,-41.8,-19.18,-5.28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2.363,91.95717020633883,97.84990903274262,-29.5,-20.88,-9.47,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2.386,91.87871702063389,96.88699090327427,-36.92,-1.0,-7.87,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2.411,91.4298717020634,100.25569909032743,-0.54,-26.51,-40.27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,
2.435,89.75598717020634,104.21956990903274,-1.48,-10.47,6.33,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.08,0.0,0.0,
2.459,88.91359871702063,102.42895699090327,-28.82,4.34,13.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,
2.483,89.15335987170208,97.06589569909033,0.76,-7.32,-3.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.0,
2.506,90.29333598717021,95.72858956990903,17.76,0.31,2.38,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.29,0.0,0.0,
2.53,90.21833359871701,95.6668589569909,-7.17,-1.31,-0.36,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.29,0.0,0.0,
2.553,89.7608333598717,93.6626858956991,-20.3,1.63,2.34,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.49,0.0,0.0,
2.577,89.87708333598717,90.78026858956991,-11.95,-3.34,-3.51,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.39,0.0,0.0,
2.601,89.87070833359873,88.69202685895698,-6.89,-10.24,-9.19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.39,0.0,0.0,
2.625,89.83407083335986,87.81720268589571,-13.95,-9.82,-8.22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.49,0.0,0.0,
2.649,89.82140708333597,88.33272026858957,-17.73,-9.85,-3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,
2.673,89.7751407083336,89.60827202685896,-13.02,-10.05,-2.31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.98,0.0,0.0,
2.697,89.43751407083337,92.0128272026859,-8.52,-5.51,3.22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.98,0.0,0.0,
2.721,88.85475140708334,93.9722827202686,-4.42,-1.15,4.42,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.78,0.0,0.0,
2.745,88.71547514070834,94.72622827202687,-6.31,0.37,1.37,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.78,0.0,0.0,
2.768,88.62954751407084,93.71262282720268,-8.21,0.76,2.81,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.78,0.0,0.0,
2.793,88.75595475140707,92.27926228272027,-8.54,0.61,4.37,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.69,0.0,0.0,
2.817,88.9485954751407,91.18192622827203,-6.29,-2.31,2.51,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.59,0.0,0.0,
2.84,89.13885954751407,90.16319262282721,-5.92,-3.78,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.59,0.0,0.0,
2.865,89.3828859547514,89.63831926228272,-6.46,-4.42,0.62,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.69,0.0,0.0,
2.888,89.43428859547514,89.75683192622826,-5.56,-2.44,2.89,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.78,0.0,0.0,
2.912,89.23242885954751,90.56068319262283,-2.03,-1.0,4.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.88,0.0,0.0,
2.936,88.89724288595475,92.31506831926228,1.58,1.52,5.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,
2.96,88.75572428859547,94.46150683192623,7.63,1.37,5.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,
2.983,88.53457242885955,93.56915068319262,-2.2,-2.85,4.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,
3.007,88.52145724288594,92.91291506831928,3.9,-5.08,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,
