time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.386,42.69,67.75,-0.11,0.46,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.409,48.72,77.62299999999999,-2.05,-0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.433,54.219,86.9803,-5.04,0.95,-0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.456,58.8999,95.10703000000001,-2.6,1.52,-1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.48,63.08499,102.03070299999999,-0.23,-0.19,-1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.503,66.518499,107.9070703,-4.14,-0.56,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.527,69.2468499,112.84170703,-6.24,0.43,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.55,71.45468499,117.160170703,-4.28,-1.24,-2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.575,73.45746849900002,120.8590170703,-5.64,-3.45,-3.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.599,75.2867468499,123.79390170703002,-6.28,-3.01,-3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.622,76.66667468498999,126.436390170703,-5.11,-0.77,-3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.646,78.271667468499,128.8786390170703,-4.35,-0.57,-3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.67,79.9171667468499,130.73386390170702,-2.17,-0.6,-1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.694,81.134716674685,132.3053863901707,-3.78,-0.95,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.717,81.81447166746851,133.77653863901708,-5.37,-0.47,-0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.741,82.48544716674685,135.12965386390172,-3.29,-0.21,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.765,83.03854471667468,136.24596538639017,-1.59,-0.59,-1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.789,83.48985447166747,136.91559653863902,-3.6,-0.76,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.813,83.71498544716674,137.4145596538639,-4.26,-1.45,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.836,83.71949854471667,137.8244559653864,-3.54,-2.49,-2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.86,83.50394985447167,138.09044559653864,-5.28,-0.97,-3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.884,83.48239498544717,138.45904455965388,-4.96,-0.81,-2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.908,83.85823949854472,138.7839044559654,-4.39,-3.9,-1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.931,84.17482394985447,139.01439044559652,-7.67,-4.83,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,
0.955,84.34148239498545,139.28943904455963,-10.34,-4.83,-1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.979,84.73614823949855,139.66794390445597,-5.47,-3.39,-2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.003,84.99161482394986,140.0027943904456,-1.63,-4.56,-3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.027,85.386161482395,140.14427943904457,-3.19,-2.18,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.05,85.4976161482395,140.17642794390446,-4.09,-2.57,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.074,85.50876161482395,140.35964279439045,-6.21,-2.51,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.097,85.5548761614824,140.41396427943903,-4.4,-3.48,-3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.122,85.64048761614825,140.2843964279439,-3.07,-1.3,-2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.145,85.65804876161482,140.1994396427944,-2.16,0.42,-0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.169,85.71380487616148,140.35294396427946,-2.72,0.21,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.192,85.67438048761616,140.27829439642795,-2.38,-0.49,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.216,85.55343804876162,140.2168294396428,-3.2,-0.47,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.241,85.44234380487617,140.21968294396427,-5.72,0.35,-1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.264,85.29623438048762,140.27396829439644,-6.26,-1.98,-4.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.288,85.48862343804876,140.34239682943965,-4.79,-1.73,-1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.311,85.57986234380488,140.51123968294397,-3.13,-1.72,-0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.335,85.64298623438049,140.5821239682944,-4.58,-0.31,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
