time,t1:pitch,t1:roll,t1:gyrx,t1:gyry,t1:gyrz,t2:pitch,t2:roll,t2:gyrx,t2:gyry,t2:gyrz,k1:pitch,k1:roll,k1:gyrx,k1:gyry,k1:gyrz,k2:pitch,k2:roll,k2:gyrx,k2:gyry,k2:gyrz,W:pitch,W:roll,W:gyrx,W:gyry,W:gyrz,B:pitch,B:roll,B:gyrx,B:gyry,B:gyrz
0.288,1.1041328824280354,15.03913868427149,0.015267175572519083,0.48854961832061067,0.24427480916030533,24.82797462790676,14.979113334137082,-0.06870229007633588,0.015267175572519083,0.022900763358778626,-11.649017141288208,24.696700679126884,0.0,0.04580152671755725,0.03816793893129771,27.000000015425996,19.499740464871266,-0.030534351145038167,-0.0,0.2748091603053435,89.0,89.0,0.0,0.0,0.0,43.9,55.25,-2.0,0.0,-3.0,
0.326,2.0426458324918655,27.822406565902256,0.015267175572519083,0.48854961832061067,0.24427480916030533,45.931753061627504,27.7113596681536,-0.06870229007633588,0.015267175572519083,0.022900763358778626,-21.550681711383184,45.68889625638474,0.0,0.04580152671755725,0.03816793893129771,49.95000002853809,36.07451986001185,-0.030534351145038167,-0.0,0.24427480916030533,89.0,89.0,0.0,0.0,0.0,47.81,60.32,-3.0,-1.0,-2.0,
0.365,2.8403818400461214,38.688184265288406,0.015267175572519083,0.48854961832061067,0.24427480916030533,63.869964730290135,38.53376905206764,-0.06870229007633588,0.015267175572519083,0.022900763358778626,-29.967096595963916,63.53226249705391,0.0,0.04580152671755725,0.03816793893129771,69.45750003968337,50.163082345881335,-0.030534351145038167,-0.0,0.24427480916030533,89.0,89.0,0.0,0.0,0.0,51.0,64.73,-3.0,-3.0,0.0,
0.402,3.518457446467239,47.92409530976664,0.015267175572519083,0.48854961832061067,0.24427480916030533,79.11744464865338,47.73281702839458,-0.06870229007633588,0.015267175572519083,0.022900763358778626,-37.12104924785754,78.6991238016227,0.0,0.04580152671755725,0.03816793893129771,86.0390697056454,62.1383604588704,-0.030534351145038167,0.022900763358778626,0.2595419847328244,89.0,89.0,0.0,0.0,0.0,54.03,68.59,-3.0,-2.0,0.0,
0.44,4.094821711925189,55.77461969757314,0.015267175572519083,0.48854961832061067,0.24427480916030533,92.03892297884738,55.36382263162726,-0.04580152671755725,0.022900763358778626,0.0,-43.20190900196712,91.59095591050618,0.0,0.04580152671755725,0.03816793893129771,100.13340392171314,72.31734685491111,-0.030534351145038167,0.022900763358778626,0.2595419847328244,89.0,89.0,0.0,0.0,0.0,56.51,71.72,-3.0,-1.0,-1.0,
0.479,4.584731337564445,62.44756542720866,0.015267175572519083,0.48854961832061067,0.24427480916030533,103.17042435168959,61.8673257651119,-0.022900763358778626,0.015267175572519083,0.015267175572519083,-48.37063979296025,102.54901320305714,0.0,0.04580152671755725,0.03816793893129771,112.11358800537072,80.96948529154571,-0.030534351145038167,0.022900763358778626,0.2595419847328244,89.0,89.0,0.0,0.0,0.0,58.2,74.26,-4.0,0.0,3.0,
0.517,5.001154519357814,68.11956929739885,0.015267175572519083,0.48854961832061067,0.24427480916030533,112.63661169552329,67.48009487064236,-0.007633587786259542,-0.0,0.0,-52.76406096530441,111.86336190172545,0.0,0.04580152671755725,0.03816793893129771,122.29674447647966,88.32380296268511,-0.030534351145038167,0.022900763358778626,0.2595419847328244,89.0,89.0,0.0,0.0,0.0,60.08,76.63,-6.0,1.0,0.0,
0.5549999999999999,5.355114223882177,72.94077258706052,0.015267175572519083,0.48854961832061067,0.24427480916030533,120.74318461600028,72.45405201946934,0.0,-0.015267175572519083,0.0,-56.49846896179696,119.78055829559352,0.0,0.04580152671755725,0.03816793893129771,130.95242747692225,94.5749729831536,-0.030534351145038167,0.022900763358778626,0.2595419847328244,89.0,89.0,0.0,0.0,0.0,61.5,78.35,-7.0,0.0,0.0,
0.593,5.655979972727886,77.03879538327293,0.015267175572519083,0.48854961832061067,0.24427480916030533,127.53660032844729,76.68054159768087,0.007633587786259542,-0.022900763358778626,-0.007633587786259542,-59.67271575881561,126.51017523038138,0.0,0.04580152671755725,0.03816793893129771,138.30975802729844,99.88846750055181,-0.030534351145038167,0.022900763358778626,0.2595419847328244,89.0,89.0,0.0,0.0,0.0,62.78,79.79,-4.0,2.0,0.0,
0.632,5.911715859246739,80.52211476005347,0.015267175572519083,0.48854961832061067,0.24427480916030533,133.23189191166827,80.19198078248836,0.015267175572519083,-0.022900763358778626,0.0,-62.37082553628147,132.23034962495106,0.0,0.04580152671755725,0.03816793893129771,144.5634889951182,104.4049378403403,-0.030534351145038167,0.022900763358778626,0.2595419847328244,89.0,89.0,0.0,0.0,0.0,63.91,81.16,-5.0,0.0,-2.0,
0.6699999999999999,6.129091362787763,83.48293623031694,0.015267175572519083,0.48854961832061067,0.24427480916030533,138.10127260463503,83.20785884254413,0.0,-0.015267175572519083,-0.007633587786259542,-64.66421884712746,137.09249786033527,0.0,0.04580152671755725,0.03816793893129771,149.879160317765,108.24393762916051,-0.030534351145038167,0.022900763358778626,0.2595419847328244,89.0,89.0,0.0,0.0,0.0,64.88,82.29,-4.0,0.0,0.0,
0.708,6.313860540797634,85.99963448004088,0.015267175572519083,0.48854961832061067,0.24427480916030533,142.2137967998618,85.74557195209297,0.007633587786259542,-0.015267175572519083,0.015267175572519083,-66.61360316134655,141.22532386041186,0.0,0.04580152671755725,0.03816793893129771,154.3974809420148,111.50708744965769,-0.030534351145038167,0.022900763358778626,0.2595419847328244,89.0,89.0,0.0,0.0,0.0,65.69,83.28,-3.0,-2.0,0.0,
0.747,6.470914342106025,88.13882799230623,0.015267175572519083,0.48854961832061067,0.24427480916030533,145.70944236580453,87.90262809520951,0.007633587786259542,-0.015267175572519083,0.015267175572519083,-68.27057982843277,144.73822596047697,0.0,0.04580152671755725,0.03816793893129771,158.23805347262712,114.2807647970803,-0.030534351145038167,0.022900763358778626,0.2595419847328244,89.0,89.0,0.0,0.0,0.0,66.47,84.38,-3.0,0.0,0.0,
