time,t1:pitch,t1:roll,t1:gyrx,t1:gyry,t1:gyrz,t2:pitch,t2:roll,t2:gyrx,t2:gyry,t2:gyrz,k1:pitch,k1:roll,k1:gyrx,k1:gyry,k1:gyrz,k2:pitch,k2:roll,k2:gyrx,k2:gyry,k2:gyrz,W:pitch,W:roll,W:gyrx,W:gyry,W:gyrz,B:pitch,B:roll,B:gyrx,B:gyry,B:gyrz
0.288,1.0871814537929265,14.089809179819374,-0.03816793893129771,0.48854961832061067,0.22137404580152673,25.75981540342073,15.618955554043916,-0.022900763358778626,0.030534351145038167,0.0,-9.560264280813135,25.09875125375878,0.0,-0.007633587786259542,-0.007633587786259542,27.000583984891644,19.49980535036745,-0.022900763358778626,0.06870229007633588,0.17557251908396945,0.0,0.0,0.0,0.0,0.0,41.65,57.65,-6.0,-1.0,0.0,
0.326,2.0112856895169138,26.066146982665842,-0.03816793893129771,0.48854961832061067,0.22137404580152673,47.65565849632836,28.895067774981243,-0.022900763358778626,0.030534351145038167,0.0,-17.52968721532452,46.48530852744251,0.0,-0.015267175572519083,0.0,49.951080372049546,36.07463989817978,-0.022900763358778626,0.06870229007633588,0.17557251908396945,0.0,0.0,0.0,0.0,0.0,45.51,62.87,-6.0,-3.0,0.0,
0.364,2.796774289882303,36.24603411508534,-0.03816793893129771,0.48854961832061067,0.22137404580152673,66.26712512529983,40.179763162777974,-0.022900763358778626,0.030534351145038167,0.0,-24.362048602158374,64.69839174047506,-0.007633587786259542,-0.0,-0.007633587786259542,69.45900230113375,50.16324926382026,-0.022900763358778626,0.06870229007633588,0.17557251908396945,0.0,0.0,0.0,0.0,0.0,48.69,67.27,-5.0,0.0,-1.0,
0.403,3.598504966174329,44.85868906292674,-0.022900763358778626,0.4961832061068702,0.21374045801526717,82.08687175992559,49.771754242405194,-0.022900763358778626,0.030534351145038167,0.0,-30.16955578096715,80.17951247155271,-0.007633587786259542,-0.0,-0.007633587786259542,86.04073594085534,62.138567224614675,-0.022900763358778626,0.06870229007633588,0.17557251908396945,0.0,0.0,0.0,0.0,0.0,51.51,71.05,-5.0,-1.0,0.0,
0.44,4.279976041022551,52.17944576859194,-0.022900763358778626,0.4961832061068702,0.21374045801526717,95.53365639935748,57.92494666008833,-0.022900763358778626,0.030534351145038167,0.0,-35.10593688295461,93.33846509296872,-0.007633587786259542,-0.0,-0.007633587786259542,100.13520953461868,72.31758749128991,-0.022900763358778626,0.06870229007633588,0.17557251908396945,0.0,0.0,0.0,0.0,0.0,53.81,74.33,-5.0,-6.0,0.0,
0.478,4.85922645464354,58.402088968407355,-0.022900763358778626,0.4961832061068702,0.21374045801526717,107.12632172341871,65.01050286002993,0.0,0.007633587786259542,0.0,-39.30186081964395,104.52357482117232,-0.007633587786259542,-0.0,-0.007633587786259542,112.11551208931752,80.96975471796387,-0.022900763358778626,0.06870229007633588,0.17557251908396945,0.0,0.0,0.0,0.0,0.0,55.71,77.04,-6.0,-4.0,0.0,
0.516,5.221903143497144,63.787500071420226,-0.022900763358778626,0.4961832061068702,0.22137404580152673,116.98008724887076,71.0332256299803,0.0,0.007633587786259542,0.0,-42.86839616582989,114.03091809014538,-0.007633587786259542,-0.0,-0.007633587786259542,122.29876926081154,88.32409686063673,-0.022900763358778626,0.06870229007633588,0.17557251908396945,0.0,0.0,0.0,0.0,0.0,57.39,79.38,-5.0,-2.0,-1.0,
0.5549999999999999,5.530178329022707,68.36509950898116,-0.022900763358778626,0.4961832061068702,0.22137404580152673,125.355787945505,76.15253998443809,0.0,0.007633587786259542,0.0,-45.89995121008794,122.11215986877248,-0.007633587786259542,-0.0,-0.007633587786259542,130.9539538871158,94.5747685979392,-0.08396946564885496,-0.0,0.20610687022900764,0.0,0.0,0.0,0.0,0.0,58.72,81.35,-3.0,-4.0,-1.0,
0.593,5.792212236719435,72.25605903090795,-0.022900763358778626,0.4961832061068702,0.22137404580152673,132.4751335376441,80.50395718572723,0.0,0.007633587786259542,0.0,-48.66351900455189,128.93502686282156,0.0,0.007633587786259542,0.015267175572519083,138.31086081947444,99.88783957464629,-0.08396946564885496,-0.0,0.20610687022900764,0.0,0.0,0.0,0.0,0.0,59.87,83.05,-4.0,0.0,-1.0,
0.631,6.0149410582616545,75.56337462454573,-0.022900763358778626,0.4961832061068702,0.22137404580152673,138.52657729096234,84.202661806823,0.0,0.007633587786259542,0.0,-51.02018209787421,134.74759173472586,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,144.5642317119793,104.40394990484732,-0.08396946564885496,-0.0,0.20610687022900764,0.0,0.0,0.0,0.0,0.0,60.91,84.4,-5.0,-4.0,-1.0,
0.669,6.204260556572541,78.37459287913784,-0.022900763358778626,0.4961832061068702,0.22137404580152673,143.61755847265613,87.53957586869629,-0.007633587786259542,-0.0,0.007633587786259542,-53.02334572719819,139.68827187584452,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,149.8795969706084,108.2426436855182,-0.08396946564885496,-0.0,0.20610687022900764,0.0,0.0,0.0,0.0,0.0,61.65,85.53,-5.0,-4.0,0.0,
0.7070000000000001,6.273593454221946,80.45529430783829,-0.030534351145038167,0.5038167938931297,0.21374045801526717,147.94489247709586,90.37595282128859,-0.007633587786259542,-0.0,0.007633587786259542,-54.72603481212357,143.88784999579536,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,154.39765744044314,111.50553339908845,-0.08396946564885496,-0.0,0.20610687022900764,0.0,0.0,0.0,0.0,0.0,62.16,86.57,-3.0,-6.0,0.0,
0.745,6.332526417223941,82.22389052223367,-0.030534351145038167,0.5038167938931297,0.21374045801526717,151.62312638086962,92.78687323099206,-0.007633587786259542,-0.0,0.007633587786259542,-56.17332053431015,147.45749139775359,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,158.23813861079503,114.27911942661552,-0.06870229007633588,0.015267175572519083,0.22900763358778625,0.0,0.0,0.0,0.0,0.0,62.74,87.4,-3.0,-3.0,0.0,
0.783,6.483181072439883,83.73074190637195,-0.030534351145038167,0.4961832061068702,0.22900763358778625,154.74962519907731,94.83615557924,-0.007633587786259542,-0.0,0.007633587786259542,-57.40351339816874,150.49168658941807,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,161.50254760559415,116.63666755001354,-0.06870229007633588,0.015267175572519083,0.22900763358778625,0.0,0.0,0.0,0.0,0.0,63.04,88.04,-5.0,-5.0,2.0,
0.821,6.611237529373433,85.01156558288946,-0.030534351145038167,0.4961832061068702,0.22900763358778625,157.40714919455388,96.57804557525074,-0.007633587786259542,-0.0,0.007633587786259542,-58.44917733244854,153.07075250233288,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,164.27716548018103,118.64064834039804,-0.061068702290076333,-0.0,0.16030534351145037,0.0,0.0,0.0,0.0,0.0,63.37,88.83,-4.0,-3.0,1.0,
0.859,6.720085517766951,86.10026570792934,-0.030534351145038167,0.4961832061068702,0.22900763358778625,159.66604459070894,98.05865207185988,-0.007633587786259542,-0.0,0.007633587786259542,-59.33799167658637,155.26295852831046,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,166.63565555907604,120.34396712672869,-0.06870229007633588,0.007633587786259542,0.16030534351145037,0.0,0.0,0.0,0.0,0.0,63.62,89.33,-4.0,0.0,0.0,
0.897,6.812606307901441,87.02566081421324,-0.030534351145038167,0.4961832061068702,0.22900763358778625,161.52086612899424,99.0831476021893,0.0,-0.0,-0.015267175572519083,-60.09348386910352,157.12633365039142,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,168.6403721261368,121.79178809510972,-0.06870229007633588,0.007633587786259542,0.16030534351145037,0.0,0.0,0.0,0.0,0.0,63.89,89.89,-3.0,0.0,0.0,
0.935,6.891248979515757,87.81224665455457,-0.030534351145038167,0.4961832061068702,0.22900763358778625,163.09746443653677,99.95396880296931,0.0,-0.0,-0.015267175572519083,-60.73565223274311,158.71020250416024,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,170.34457586462702,123.02243591823361,-0.06870229007633588,0.030534351145038167,0.20610687022900764,0.0,0.0,0.0,0.0,0.0,64.17,90.35,-3.0,0.0,-3.0,
0.973,6.9580952503879265,88.48084461884469,-0.030534351145038167,0.4961832061068702,0.22900763358778625,164.45520973962422,100.8777960011153,0.0,0.007633587786259542,-0.007633587786259542,-61.28149534183675,160.05649102986374,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,171.79314904234369,124.06848656788891,-0.06870229007633588,0.030534351145038167,0.20610687022900764,0.0,0.0,0.0,0.0,0.0,64.42,90.75,-3.0,5.0,-3.0,
1.0110000000000001,7.01491458062927,89.04915288849128,-0.030534351145038167,0.4961832061068702,0.22900763358778625,165.62064327814866,101.61530512312014,0.0,0.007633587786259542,-0.007633587786259542,-61.745461984566354,161.2008362767117,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,173.02443624340287,124.95762962009591,-0.06870229007633588,0.030534351145038167,0.20610687022900764,0.0,0.0,0.0,0.0,0.0,64.74,91.07,-3.0,6.0,-2.0,
1.049,7.063211011334412,89.53221491769091,-0.030534351145038167,0.4961832061068702,0.22900763358778625,166.61126178589444,102.24218787682425,0.0,0.007633587786259542,-0.007633587786259542,-62.139833630886514,162.17352973653246,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,174.07096547880698,125.71353098546425,-0.05343511450381679,0.022900763358778626,0.19083969465648856,0.0,0.0,0.0,0.0,0.0,64.91,91.08,-4.0,0.0,-1.0,
1.087,6.960790760331704,90.05976748504672,-0.022900763358778626,0.48091603053435117,0.2366412213740458,167.45328751747834,102.77503821747274,0.0,0.007633587786259542,-0.007633587786259542,-62.47504953025865,163.0003191773801,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,174.96051532890047,126.35604714602732,-0.05343511450381679,0.022900763358778626,0.19083969465648856,0.0,0.0,0.0,0.0,0.0,65.16,91.35,-3.0,0.0,0.0,
1.124,6.873733546979402,90.50818716729916,-0.022900763358778626,0.48091603053435117,0.2366412213740458,168.16900938932469,103.22796100702396,0.0,0.007633587786259542,-0.007633587786259542,-62.75998304472497,163.7030902021006,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,175.71650293048756,126.90205611151357,-0.06870229007633588,0.007633587786259542,0.183206106870229,0.0,0.0,0.0,0.0,0.0,65.28,91.54,-4.0,0.0,0.0,
1.163,6.799734915629945,90.88934389721372,-0.022900763358778626,0.48091603053435117,0.2366412213740458,168.77737298039406,103.6129453781425,0.0,0.007633587786259542,-0.007633587786259542,-63.00217653202134,164.30044557311305,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,176.35928704832517,127.36616373217689,-0.06870229007633588,0.030534351145038167,0.1984732824427481,0.0,0.0,0.0,0.0,0.0,65.3,91.71,-3.0,-4.0,-1.0,
1.201,6.690400517290087,91.4165977533465,-0.022900763358778626,0.4961832061068702,0.22900763358778625,169.29448203280305,103.94018209359325,0.0,0.007633587786259542,-0.007633587786259542,-63.20804099622325,164.80819763847362,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,176.90565354848712,127.7606552097407,-0.06870229007633588,0.030534351145038167,0.1984732824427481,0.0,0.0,0.0,0.0,0.0,65.3,91.88,-3.0,-1.0,-1.0,
1.2389999999999999,6.597466278701207,91.86476353105935,-0.022900763358778626,0.4961832061068702,0.22900763358778625,169.73402472735066,104.21833330172639,0.0,0.007633587786259542,-0.007633587786259542,-63.38302579079487,165.2397868940301,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,177.37006507362477,128.09603785116613,-0.061068702290076333,0.030534351145038167,0.19083969465648856,0.0,0.0,0.0,0.0,0.0,65.31,91.93,-4.0,-1.0,-1.0,
1.277,6.618669172027905,92.47302665906062,-0.03816793893129771,0.5114503816793893,0.2366412213740458,170.10763601771615,104.45476182863956,0.0,0.007633587786259542,-0.007633587786259542,-63.53176286618075,165.6066377612531,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,177.7648148699918,128.38111309637773,-0.061068702290076333,0.030534351145038167,0.19083969465648856,0.0,0.0,0.0,0.0,0.0,65.45,91.95,-3.0,-2.0,-1.0,
