time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.388,48.32,62.64,-2.37,-0.76,0.21,0,0,0,0,0,0,0,0.00,0.00,0.88,
0.411,55.150999999999996,71.856,-3.33,-0.48,-0.11,0,0,0,0,0,0,0,0.00,0.00,0.59,
0.435,61.7921,80.60759999999999,-4.0,0.06,-0.18,0,0,0,0,0,0,0,0.00,0.00,0.10,
0.458,67.54121,88.03476,-3.57,-1.79,-0.02,0,0,0,0,0,0,0,0.00,0.00,0.00,
0.482,72.436121,94.195476,-4.51,-1.5,0.0,0,0,0,0,0,0,0,0.00,0.00,0.29,
0.505,76.6336121,99.5545476,-5.2,-1.99,0.34,0,0,0,0,0,0,0,0.00,0.00,0.88,
0.529,80.13136121,104.19445475999999,-5.69,-2.24,1.24,0,0,0,0,0,0,0,0.00,0.00,0.78,
0.552,83.14513612100001,108.096445476,-5.67,-2.22,2.28,0,0,0,0,0,0,0,0.00,0.00,0.29,
0.576,85.84951361210001,111.3396445476,-5.73,-1.56,2.85,0,0,0,0,0,0,0,0.00,0.00,0.00,
0.601,88.17195136121,114.09396445476,-6.27,-1.13,3.42,0,0,0,0,0,0,0,0.00,0.00,0.10,
0.624,90.15019513612101,116.466396445476,-6.37,-0.56,3.0,0,0,0,0,0,0,0,0.00,0.00,0.59,
0.648,91.71601951361211,118.44063964454759,-6.18,-0.85,2.66,0,0,0,0,0,0,0,0.00,0.00,0.98,
0.671,93.07860195136122,120.20406396445478,-6.77,-1.95,2.11,0,0,0,0,0,0,0,0.00,0.00,0.29,
0.695,94.12386019513612,121.64940639644549,-6.86,-2.38,1.08,0,0,0,0,0,0,0,0.00,0.00,0.78,
0.718,94.9753860195136,122.93694063964455,-6.82,-1.81,0.08,0,0,0,0,0,0,0,0.00,0.00,0.78,
0.742,95.59153860195136,124.10069406396445,-5.71,-2.51,-1.31,0,0,0,0,0,0,0,0.00,0.00,0.39,
0.765,96.21115386019514,124.97306940639645,-4.85,-3.34,-2.16,0,0,0,0,0,0,0,0.00,0.00,0.00,
0.789,96.70511538601951,125.60030694063965,-4.21,-4.28,-3.23,0,0,0,0,0,0,0,0.00,0.00,0.10,
0.813,97.16851153860196,126.14003069406397,-5.0,-3.22,-3.05,0,0,0,0,0,0,0,0.00,0.00,0.49,
0.837,97.6018511538602,126.62600306940641,-5.15,-4.27,-1.66,0,0,0,0,0,0,0,0.00,0.00,0.69,
0.861,97.74418511538603,127.07960030694063,-4.5,-3.76,-0.5,0,0,0,0,0,0,0,0.00,0.00,0.59,
0.884,97.83041851153861,127.46696003069405,-3.76,-3.18,-0.21,0,0,0,0,0,0,0,0.00,0.00,0.10,
0.908,97.99204185115386,127.7666960030694,-3.27,-4.23,-0.23,0,0,0,0,0,0,0,0.00,0.00,0.00,
0.931,97.99020418511539,127.99466960030695,-3.57,-4.4,-0.65,0,0,0,0,0,0,0,0.00,0.00,0.20,
0.955,98.06202041851152,128.2064669600307,-3.17,-4.04,-0.97,0,0,0,0,0,0,0,0.00,0.00,0.69,
0.978,98.18620204185116,128.37164669600304,-3.31,-3.93,-0.79,0,0,0,0,0,0,0,0.00,0.00,0.88,
1.003,98.2616202041851,128.5411646696003,-3.76,-3.87,-0.1,0,0,0,0,0,0,0,0.00,0.00,0.39,
1.027,98.2781620204185,128.72911646696002,-4.41,-4.19,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,
1.05,98.31581620204184,128.891911646696,-4.99,-3.67,1.19,0,0,0,0,0,0,0,0.00,0.00,0.00,
1.074,98.6435816202042,129.0161911646696,-4.92,-4.18,2.38,0,0,0,0,0,0,0,0.00,0.00,0.59,
1.097,98.96435816202043,128.93861911646695,-4.49,-3.18,2.81,0,0,0,0,0,0,0,0.00,0.00,0.69,
1.121,99.19443581620204,128.7598619116467,-4.24,-2.05,1.87,0,0,0,0,0,0,0,0.00,0.00,0.59,
1.144,99.1904435816202,128.69698619116465,-4.95,-1.87,0.85,0,0,0,0,0,0,0,0.00,0.00,0.10,
1.168,98.92004435816202,128.80769861911648,-6.08,-1.94,0.51,0,0,0,0,0,0,0,0.00,0.00,0.00,
1.191,98.6950044358162,129.02576986191167,-5.87,-0.95,0.58,0,0,0,0,0,0,0,0.00,0.00,0.20,
1.215,98.60950044358161,129.03857698619117,-4.4,-1.86,0.72,0,0,0,0,0,0,0,0.00,0.00,0.78,
1.239,98.44795004435817,129.00385769861913,-4.18,-2.23,1.6,0,0,0,0,0,0,0,0.00,0.00,0.88,
1.262,97.97279500443581,128.9013857698619,-4.66,-0.74,0.92,0,0,0,0,0,0,0,0.00,0.00,0.49,
1.286,97.28627950044357,128.87313857698618,-4.69,-1.67,-1.02,0,0,0,0,0,0,0,0.00,0.00,0.10,
1.31,96.76762795004436,128.83431385769865,-4.83,-3.32,-1.05,0,0,0,0,0,0,0,0.00,0.00,0.10,
1.334,96.52676279500444,128.77643138576988,-4.04,-6.76,0.03,0,0,0,0,0,0,0,0.00,0.00,0.59,
1.357,95.98067627950044,128.779643138577,-4.01,-7.02,0.32,0,0,0,0,0,0,0,0.00,0.00,0.88,
1.381,95.31406762795004,128.8519643138577,-4.37,-7.82,0.06,0,0,0,0,0,0,0,0.00,0.00,0.69,
1.404,94.824406762795,128.9851964313858,-4.4,-9.53,-0.04,0,0,0,0,0,0,0,0.00,0.00,0.39,
1.428,94.82944067627949,128.80951964313857,-4.68,-9.75,1.21,0,0,0,0,0,0,0,0.00,0.00,0.00,
1.452,95.37894406762794,128.32395196431386,-5.88,-8.82,2.04,0,0,0,0,0,0,0,0.00,0.00,0.10,
1.475,96.20789440676279,127.77139519643137,-8.24,-6.6,3.89,0,0,0,0,0,0,0,0.00,0.00,0.69,
1.499,97.32578944067627,127.38313951964314,-12.11,-3.07,7.73,0,0,0,0,0,0,0,0.00,0.00,0.88,
1.522,98.63457894406763,126.78631395196432,-14.6,2.46,11.27,0,0,0,0,0,0,0,0.00,0.00,0.59,
1.547,99.85445789440676,126.17763139519643,-16.17,5.36,13.27,0,0,0,0,0,0,0,0.00,0.00,0.20,
1.57,100.85844578944068,125.55876313951964,-18.75,9.41,13.48,0,0,0,0,0,0,0,0.00,0.00,0.10,
1.594,101.49884457894406,125.08287631395196,-19.65,10.34,10.69,0,0,0,0,0,0,0,0.00,0.00,0.49,
1.617,101.6528844578944,124.7202876313952,-22.58,12.31,8.75,0,0,0,0,0,0,0,0.00,0.00,0.78,
1.642,101.55128844578945,124.51302876313952,-25.42,12.55,5.95,0,0,0,0,0,0,0,0.00,0.00,0.88,
1.666,101.29812884457894,124.58230287631395,-28.85,11.38,4.15,0,0,0,0,0,0,0,0.00,0.00,0.49,
1.689,100.75081288445789,124.2292302876314,-31.92,10.16,1.25,0,0,0,0,0,0,0,0.00,0.00,0.20,
1.713,100.09308128844579,123.76192302876314,-34.59,7.92,-1.96,0,0,0,0,0,0,0,0.00,0.00,0.00,
1.736,99.55030812884458,123.25619230287631,-38.34,5.37,-4.61,0,0,0,0,0,0,0,0.00,0.00,0.49,
1.761,99.01003081288447,122.43161923028764,-43.59,3.28,-5.76,0,0,0,0,0,0,0,0.00,0.00,0.88,
1.784,98.47000308128844,121.06216192302877,-47.83,3.85,-7.1,0,0,0,0,0,0,0,0.00,0.00,0.59,
1.808,98.07400030812884,119.44021619230287,-52.17,3.21,-8.31,0,0,0,0,0,0,0,0.00,0.00,0.10,
1.831,97.8184000308129,117.50502161923029,-62.53,5.79,-6.6,0,0,0,0,0,0,0,0.00,0.00,0.00,
1.855,97.94584000308129,115.37650216192303,-73.39,8.08,-2.38,0,0,0,0,0,0,0,0.00,0.00,0.49,
1.879,98.30958400030812,113.17465021619232,-83.6,15.65,4.98,0,0,0,0,0,0,0,0.00,0.00,0.78,
1.903,98.70595840003081,110.85746502161922,-87.02,24.11,9.35,0,0,0,0,0,0,0,0.00,0.00,0.69,
1.927,99.42059584000307,109.03274650216193,-76.17,22.78,10.19,0,0,0,0,0,0,0,0.00,0.20,0.59,
1.95,100.07705958400031,107.8062746502162,-64.14,13.67,10.82,0,0,0,0,0,0,0,0.00,0.00,0.29,
1.974,100.25970595840003,107.10762746502161,-57.75,2.18,13.95,0,0,0,0,0,0,0,0.00,0.20,0.10,
1.998,99.87297059584,106.97476274650215,-59.05,1.49,16.01,0,0,0,0,0,0,0,0.00,0.59,0.59,
2.022,99.312297059584,107.08747627465021,-61.67,8.21,17.49,0,0,0,0,0,0,0,0.00,0.69,0.88,
2.045,98.9322297059584,107.224747627465,-60.16,10.46,15.27,0,0,0,0,0,0,0,0.00,0.59,0.69,
2.069,98.72322297059584,106.9864747627465,-50.37,6.39,9.11,0,0,0,0,0,0,0,0.00,0.59,0.39,
2.093,98.52232229705959,107.21464747627464,-40.38,-3.05,2.8,0,0,0,0,0,0,0,0.00,0.69,0.20,
2.116,98.14223222970595,107.72346474762747,-37.96,-4.87,2.26,0,0,0,0,0,0,0,0.00,0.69,0.39,
2.141,97.8612232229706,107.47734647476274,-37.44,1.11,1.36,0,0,0,0,0,0,0,0.00,0.49,0.98,
2.164,98.04912232229705,106.98473464747627,-36.95,4.19,0.16,0,0,0,0,0,0,0,0.00,0.49,1.37,
2.188,98.63491223222971,106.80947346474763,-37.69,0.99,3.05,0,0,0,0,0,0,0,0.00,0.49,0.69,
2.211,99.08949122322296,106.79194734647476,-35.61,-1.8,6.58,0,0,0,0,0,0,0,0.00,0.49,0.10,
2.235,99.44094912232231,106.53819473464748,-28.05,-1.84,7.51,0,0,0,0,0,0,0,0.00,0.59,0.10,
2.258,99.69209491223224,105.98181947346475,-21.92,-1.74,6.54,0,0,0,0,0,0,0,0.00,0.59,0.49,
2.282,99.86120949122322,105.14318194734648,-20.26,-0.3,3.54,0,0,0,0,0,0,0,0.00,0.59,0.98,
2.306,99.92312094912234,104.22231819473465,-21.62,0.67,-0.68,0,0,0,0,0,0,0,0.00,0.49,1.08,
2.33,99.91131209491223,103.37423181947347,-22.73,2.52,-3.56,0,0,0,0,0,0,0,0.00,0.59,0.49,
2.354,99.93713120949121,102.47942318194734,-22.01,2.7,-6.41,0,0,0,0,0,0,0,0.00,0.49,0.00,
2.377,100.02971312094913,101.32794231819473,-18.12,5.22,-9.85,0,0,0,0,0,0,0,0.00,0.59,0.20,
2.401,100.1919713120949,100.12379423181947,-13.75,4.15,-13.21,0,0,0,0,0,0,0,0.00,0.49,0.88,
2.424,100.29819713120949,99.04037942318195,-11.06,2.01,-14.91,0,0,0,0,0,0,0,0.00,0.59,1.08,
2.449,100.39881971312094,98.0860379423182,-9.37,1.21,-14.72,0,0,0,0,0,0,0,0.00,0.59,0.69,
2.472,100.3908819713121,97.07260379423181,-8.99,3.58,-14.62,0,0,0,0,0,0,0,0.00,0.59,0.29,
2.496,100.4170881971312,95.83726037942318,-11.15,7.59,-13.95,0,0,0,0,0,0,0,0.00,0.59,0.00,
2.52,100.61770881971313,94.64272603794232,-14.98,11.89,-10.94,0,0,0,0,0,0,0,0.00,0.59,0.49,
2.544,100.84477088197131,93.35327260379422,-19.67,21.31,-8.81,0,0,0,0,0,0,0,0.00,0.49,0.98,
2.568,102.94647708819714,87.50032726037941,80.47,-73.6,-28.77,0,0,0,0,0,0,0,0.78,1.08,1.18,
2.591,103.5346477088197,87.09503272603794,83.33,-22.85,-34.66,0,0,0,1,0,0,0,1.08,0.00,6.28,
2.616,122.26846477088196,106.6475032726038,36.15,92.18,11.08,0,0,0,1,0,0,0,0.59,0.00,5.59,
2.639,118.67884647708819,106.92875032726037,-8.81,-60.01,5.04,0,0,0,1,0,0,0,0.59,0.00,17.46,
2.663,115.15188464770883,103.53687503272603,-17.79,-5.98,-2.03,0,0,0,1,0,0,0,0.39,0.00,0.00,
2.688,113.7011884647709,102.6036875032726,-5.73,11.32,-8.79,0,0,0,1,0,0,0,0.69,0.00,0.00,
2.711,112.59311884647708,102.05136875032726,0.24,6.21,-4.34,0,0,0,1,0,0,0,0.69,0.00,0.00,
2.736,111.1053118846477,101.30313687503272,-4.54,0.6,1.25,0,0,0,1,0,0,0,0.88,0.00,5.59,
2.759,109.04853118846476,100.57131368750328,-4.01,-1.98,2.22,0,0,0,1,0,0,0,1.08,0.00,0.00,
2.783,107.51985311884647,100.15613136875032,-6.37,-3.24,0.57,0,0,0,2,0,0,0,1.08,0.00,0.00,
2.807,106.23298531188465,99.67361313687503,-8.05,-5.68,5.4,0,0,0,2,0,0,0,1.28,0.00,0.00,
2.831,105.01529853118846,99.09436131368751,-7.51,-4.73,4.38,0,0,0,2,0,0,0,1.77,0.00,0.00,
2.855,104.02952985311885,98.65843613136875,-8.71,0.03,2.71,0,0,0,2,0,0,0,2.35,0.00,0.00,
2.879,103.24695298531188,98.16484361313688,-10.0,3.06,2.66,0,1,0,3,0,0,1,2.94,0.00,0.00,
2.904,102.78169529853119,97.69248436131369,-9.63,1.07,3.79,0,1,0,3,0,0,1,3.63,0.00,0.00,
2.927,102.34816952985311,97.33024843613137,-8.32,0.98,5.26,1,1,0,3,0,0,2,4.51,0.00,0.00,
2.952,101.99881695298531,96.87102484361313,-8.5,1.8,4.69,1,1,0,4,0,0,2,5.00,0.00,0.00,
2.975,101.68488169529854,96.63610248436132,-7.03,5.17,4.84,1,1,0,4,0,0,2,5.49,0.00,0.00,
2.999,101.50048816952986,96.41461024843613,-5.78,5.99,5.24,1,2,0,4,0,0,3,5.89,0.00,0.00,
3.023,101.33804881695299,96.2394610248436,-4.81,6.55,6.04,1,2,0,4,0,0,3,6.08,0.00,0.00,
3.047,101.2228048816953,96.06894610248435,-4.37,5.53,5.4,1,2,0,5,0,0,3,6.28,0.00,0.00,
3.072,101.17528048816952,95.91689461024843,-3.81,5.35,4.84,1,2,0,5,0,0,3,6.28,0.00,0.00,
3.096,101.10752804881695,95.79368946102484,-3.4,4.7,4.82,1,2,0,5,0,0,3,6.28,0.00,0.20,
3.12,101.0827528048817,95.67336894610247,-2.99,4.22,3.79,1,2,0,5,0,0,3,6.18,0.00,0.88,
3.144,101.08927528048818,95.61633689461026,-2.47,3.5,3.13,1,2,0,5,0,0,3,6.08,0.00,0.39,
3.168,101.0719275280488,95.57463368946101,-2.18,2.55,3.02,1,2,0,5,0,0,3,5.98,0.00,0.00,
3.192,101.00719275280488,95.5524633689461,-2.3,2.02,2.02,1,2,0,5,0,0,3,5.89,0.00,0.00,
3.216,100.90171927528048,95.46024633689461,-2.05,2.11,1.2,1,2,0,5,0,0,3,5.69,0.00,0.59,
3.24,100.87317192752805,95.39702463368945,-1.33,2.01,1.05,1,2,0,4,0,0,3,5.69,0.00,0.49,
3.265,100.8343171927528,95.39070246336894,-0.63,2.37,1.4,1,2,0,4,0,0,2,5.40,0.00,1.08,
3.289,100.82143171927528,95.44407024633689,0.09,2.47,1.56,1,1,0,4,0,0,2,4.81,0.00,0.00,
3.312,100.84714317192753,95.45840702463369,0.35,3.13,1.8,1,1,0,4,0,0,2,4.51,0.00,0.00,
3.337,100.91271431719275,95.55884070246336,-0.16,2.97,2.21,1,1,0,3,0,0,2,4.12,0.00,0.00,
3.36,100.93727143171928,95.60488407024634,-0.6,3.34,2.15,0,1,0,3,0,0,1,3.83,0.00,0.88,
3.385,100.93972714317192,95.64548840702464,-0.85,3.1,1.88,0,1,0,3,0,0,1,3.63,0.00,0.00,
3.408,101.0209727143172,95.71254884070245,-1.02,3.19,2.01,0,1,0,3,0,0,1,3.34,0.00,0.69,
3.433,101.10109727143171,95.73725488407024,-0.81,2.91,1.92,0,1,0,3,0,0,1,3.14,0.00,0.10,
3.457,101.15410972714317,95.80272548840702,-1.11,2.7,1.83,0,1,0,3,0,0,1,2.84,0.00,1.67,
3.48,101.12341097271432,95.9172725488407,-2.08,2.28,1.77,0,1,0,3,0,0,1,2.75,0.00,0.00,
3.505,101.11134109727142,95.96472725488407,-2.4,2.5,1.76,0,1,0,3,0,0,1,2.55,0.00,0.00,
3.528,101.19113410972713,96.01447272548839,-2.47,2.22,1.79,0,1,0,3,0,0,1,2.55,0.00,0.39,
3.552,101.24411341097272,96.05544727254885,-2.32,2.45,1.89,0,1,0,2,0,0,1,2.45,0.00,2.45,
3.576,101.27641134109727,96.11354472725489,-2.18,1.57,2.31,0,1,0,2,0,0,0,2.35,0.00,1.18,
3.6,101.29764113410972,96.11935447272549,-2.15,1.4,2.2,0,1,0,2,0,0,0,2.35,0.00,0.88,
3.623,101.37176411341098,96.14693544727255,-1.8,1.0,2.05,0,0,0,2,0,0,0,2.35,0.00,0.00,
3.648,101.44217641134111,96.23069354472725,-2.02,1.08,1.9,0,0,0,2,0,0,0,2.16,0.00,0.69,
3.672,101.44021764113411,96.22106935447272,-2.32,1.06,1.95,0,0,0,2,0,0,0,2.06,0.00,2.16,
3.695,101.4580217641134,96.22010693544726,-2.18,0.76,2.0,0,0,0,2,0,0,0,2.16,0.00,1.67,
3.72,101.45980217641133,96.20201069354472,-2.43,0.79,1.89,0,0,0,2,0,0,0,2.06,0.00,0.39,
3.743,101.49598021764115,96.20920106935446,-2.16,0.76,1.82,0,0,0,2,0,0,0,1.96,0.00,0.88,
3.767,101.5445980217641,96.23692010693544,-2.08,0.57,1.94,0,0,0,2,0,0,0,1.96,0.00,0.00,
3.791,101.55845980217642,96.24869201069355,-1.92,0.66,2.31,0,0,0,2,0,0,0,1.96,0.00,0.39,
3.815,101.53284598021764,96.22286920106936,-2.18,0.6,2.34,0,0,0,2,0,0,0,1.86,0.00,0.78,
3.838,101.53028459802178,96.25628692010693,-2.02,0.79,2.39,0,0,0,2,0,0,0,1.86,0.00,0.00,
3.863,101.54802845980217,96.3046286920107,-1.84,0.49,2.48,0,0,0,2,0,0,0,1.77,0.00,0.59,
3.887,101.50480284598022,96.33646286920107,-1.78,0.6,2.59,0,0,0,2,0,0,0,1.57,0.00,0.39,
