time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.421,53.25,73.72,-3.93,1.17,-0.74,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.445,58.992,81.85600000000001,-3.6,-1.05,-1.98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.47,64.37219999999999,89.3476,-2.72,-3.02,-1.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.493,68.87922,95.70376,-3.66,-2.82,-1.71,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.517,72.65992200000001,101.190376,-5.51,0.54,-2.27,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.54,75.82799220000001,105.9060376,-5.79,1.03,-0.71,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.564,78.88079922,110.01360376,-5.07,-1.27,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.587,81.31907992200001,113.286360376,-4.92,-0.92,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.611,83.1289079922,116.24163603759999,-4.25,-1.4,-0.66,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.635,84.93889079922,118.81416360376,0.17,-5.27,-1.31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.659,86.883889079922,120.988416360376,-0.57,-5.65,-0.21,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.683,88.43738890799219,122.72684163603759,-3.44,0.31,1.11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.706,89.74473889079921,123.98968416360375,-3.03,2.32,2.52,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.73,90.70347388907992,125.13296841636038,-3.29,-2.47,-2.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.753,91.21334738890799,126.31829684163604,-5.88,-3.51,-8.41,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.778,91.8223347388908,127.3278296841636,-5.53,-0.56,-4.44,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.801,92.47723347388907,128.08578296841634,-2.53,-0.12,3.15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.825,92.5877233473889,128.75557829684163,-3.21,-1.32,-0.71,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39,0.0,
0.848,92.87777233473889,129.38955782968418,-4.86,-0.92,-2.51,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.69,0.0,
0.872,93.37477723347389,129.83995578296842,-2.51,-1.85,2.16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.69,0.0,
0.897,93.63147772334739,130.13699557829682,-3.18,-1.82,-1.26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.78,0.0,
0.92,94.22414777233475,130.58069955782966,-4.4,-0.4,-1.51,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.78,0.0,
0.944,94.72441477723348,131.20106995578297,-1.36,0.21,1.52,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.69,0.0,
0.967,94.72044147772336,131.39810699557827,-1.11,-1.84,-2.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.69,0.0,
0.991,94.60304414777234,131.48081069955782,-2.64,-2.64,-5.99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.69,0.0,
1.015,94.83430441477722,131.66908106995578,-3.48,-1.16,-1.31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.78,0.0,
1.039,94.84843044147772,131.84090810699558,-3.24,-1.11,-0.53,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.88,0.0,
1.062,94.95784304414776,132.04709081069956,-3.2,-0.78,-1.63,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.88,0.0,
1.086,95.06778430441477,132.12170908106995,-2.95,0.41,0.17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.88,0.0,
1.11,95.10577843044148,132.12017090810699,-3.71,-1.93,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.78,0.0,
1.133,95.08257784304415,132.2550170908107,-5.24,-1.67,-1.88,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.78,0.0,
1.158,95.19725778430441,132.32250170908108,-5.31,-0.63,-0.06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.78,0.0,
1.181,95.12772577843045,132.1942501709081,-4.15,-0.25,1.58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.78,0.0,
1.205,95.10277257784304,132.21742501709082,-4.2,-1.91,-0.74,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.78,0.0,
1.228,95.0732772577843,132.25574250170908,-5.08,-2.14,-1.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.78,0.0,
1.253,95.42132772577843,132.49357425017092,-3.08,-2.13,2.58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.69,0.0,
1.276,95.56413277257785,132.48135742501708,-1.98,-2.99,0.49,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.78,0.0,
1.3,95.69541327725779,132.3901357425017,-3.41,-1.2,-2.67,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.78,0.0,
1.324,95.95154132772578,132.59701357425018,-5.02,2.37,-2.16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.78,0.0,
1.347,95.99515413277258,132.617701357425,-3.42,0.89,-1.18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.78,0.0,
1.371,95.82851541327726,132.47577013574252,-2.7,-1.12,-2.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.88,0.0,
1.395,95.72185154132772,132.54257701357426,-4.85,-1.5,-3.82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.98,0.0,
1.419,95.52218515413277,132.56725770135742,-7.15,0.95,-0.43,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.18,0.0,
1.442,95.65521851541328,132.52472577013575,-4.6,-0.39,1.56,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.18,0.0,
1.466,95.51552185154134,132.3854725770136,-4.98,-2.23,-0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.28,0.0,
1.489,95.32155218515413,132.36254725770135,-6.2,-1.11,-1.33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.37,0.0,
1.514,95.63515521851542,132.50425472577015,-3.09,-1.68,2.43,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.37,0.0,
1.538,95.81051552185154,132.30242547257703,-2.22,-1.7,1.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.47,0.0,
1.561,95.64805155218514,132.1742425472577,-7.37,-1.95,-2.78,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.57,0.0,
1.585,95.86580515521851,132.23342425472578,-8.98,-1.47,-1.66,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.47,0.0,
1.608,95.91458051552185,132.0143424254726,-8.03,-2.24,-0.93,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.28,0.0,
1.633,95.89245805155218,131.80343424254727,-12.02,-1.45,-3.88,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.18,0.0,
1.656,96.38524580515522,131.76434342425472,-11.88,-2.49,-3.92,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.37,0.0,
1.68,96.66852458051552,131.39143434242547,-13.01,-2.17,-1.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.28,0.0,
1.704,96.61585245805155,130.67914343424255,-17.99,-2.16,-3.92,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.28,0.0,
1.728,96.46658524580516,130.07691434342425,-24.21,-4.66,-8.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.37,0.0,
1.752,96.27165852458052,129.40469143434245,-30.49,-3.74,-10.17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.47,0.0,
1.776,96.29716585245805,128.68946914343425,-29.74,-4.23,-7.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.67,0.0,
1.8,96.40771658524581,127.68194691434343,-31.21,-3.96,-4.93,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.67,0.0,
1.823,96.30177165852459,126.61819469143435,-38.66,-1.95,-0.93,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.67,0.0,
1.848,96.03017716585246,125.53081946914344,-46.52,-0.14,1.47,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.96,-2627.61,
1.871,95.98501771658525,124.77408194691435,-48.56,1.95,0.31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.06,0.0,
1.895,96.21450177165852,123.96940819469144,-45.38,7.05,-0.57,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.96,0.0,
1.92,96.89445017716585,122.89894081946915,-42.39,3.12,-0.89,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.06,0.0,
1.943,97.93444501771658,121.73889408194691,-46.3,5.31,-1.4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.86,0.0,
1.967,100.09944450177167,121.84788940819469,-48.75,-0.97,18.76,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.77,0.0,
1.99,100.67594445017716,120.36478894081947,-60.3,7.93,12.15,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.28,0.0,
2.015,99.66259444501772,117.34547889408195,-69.51,-1.36,0.89,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.88,0.0,
2.038,98.56225944450178,114.87454788940819,-71.8,28.63,8.11,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.37,0.0,
2.062,99.14522594445017,112.51245478894083,-72.37,19.24,-0.89,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.37,0.0,
2.086,98.95152259444502,109.72024547889407,-66.44,9.42,14.46,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.47,0.0,
2.11,98.7701522594445,108.6130245478894,-81.1,12.42,2.73,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.67,0.0,
2.134,98.08601522594445,107.96230245478894,-92.73,21.11,13.02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.67,0.0,
2.157,97.54960152259444,107.33923024547889,-89.42,15.26,14.6,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.28,0.0,
2.182,97.24396015225943,106.8899230245479,-77.65,18.18,12.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.08,0.0,
2.205,97.12339601522595,106.0349923024548,-63.64,7.11,11.7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.18,0.0,
2.229,97.5973396015226,105.31049923024548,-55.64,7.85,16.34,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.18,0.0,
2.252,97.27573396015225,103.49204992302455,-61.28,11.15,14.82,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.28,0.0,
2.277,97.78357339601524,102.06820499230244,-74.69,0.13,2.93,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.59,0.0,
