time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.382,44.15,60.72,-1.83,-1.17,-0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.406,50.603,69.477,-4.2,-0.15,0.82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.43,56.7923,77.9037,-4.24,-1.08,-1.03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.453,62.36122999999999,85.27137,-4.09,-0.65,-1.37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.477,67.193123,91.489137,-3.66,0.02,-0.67,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.501,71.2223123,96.69191369999999,-2.36,-1.24,-1.84,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.525,74.45123123,101.10019137,-4.75,-1.25,-4.67,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.548,77.042123123,105.105019137,-5.17,-0.12,-5.55,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.572,79.16421231230001,108.4575019137,-3.07,-0.64,-3.99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,
0.595,80.97842123123002,111.18675019137,-1.31,-1.67,-2.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,
0.62,82.383842123123,113.511675019137,-0.27,-1.51,-1.91,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.59,0.0,
0.644,83.5593842123123,115.49916750191369,-0.81,0.05,-1.63,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.78,0.0,
0.667,84.71193842123124,117.16491675019137,-0.98,-2.37,0.08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.08,0.0,
0.691,85.70919384212313,118.44749167501914,-1.96,-3.41,-1.66,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.96,0.0,
0.714,86.63691938421232,119.70074916750193,-3.37,-0.75,-1.84,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.67,0.0,
0.739,87.61169193842125,120.7620749167502,-2.54,0.13,-0.31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.59,0.0,
0.762,88.48316919384212,121.55220749167502,-1.31,-2.67,-0.52,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.69,0.0,
0.786,89.1913169193842,122.2072207491675,-3.31,-1.94,-1.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.86,0.0,
0.809,89.59513169193842,122.88472207491675,-5.02,0.82,-1.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.16,0.0,
0.833,90.01351316919384,123.53747220749167,-4.37,-0.09,-1.08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.06,0.0,
0.858,90.31635131691938,124.06174722074918,-2.79,-3.71,-1.92,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.35,0.0,
0.881,90.27463513169192,124.41117472207492,-4.06,-3.79,-2.82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.86,0.0,
0.905,90.38746351316921,124.77911747220749,-4.79,-1.01,-0.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,
0.928,90.67774635131691,124.97791174722074,-3.56,-1.77,0.61,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.952,90.97677463513169,125.10579117472207,-4.8,-1.5,0.43,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.976,91.08767746351316,125.26257911747221,-5.05,-0.03,-1.45,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,91.38676774635132,125.56625791174721,-4.95,-0.41,-2.24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.024,91.73167677463513,125.72262579117472,-5.56,-2.28,-1.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.047,91.82016767746352,125.85526257911746,-6.12,-0.73,-0.93,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.071,92.04501676774635,126.08452625791173,-5.56,0.34,-1.59,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.095,92.19350167677462,126.35945262579118,-3.91,-0.52,-1.35,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.119,92.17235016767746,126.57594526257911,-2.03,-1.89,-2.22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.142,92.26923501676775,126.66059452625791,-2.64,-1.56,-1.26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.166,92.30592350167677,126.6780594526258,-1.89,-0.21,-1.41,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.189,92.21059235016767,126.71580594526257,0.44,-1.27,-2.94,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.214,92.12905923501677,126.70158059452626,-1.16,-2.34,-2.31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.238,91.93190592350167,126.63715805945262,-3.52,-0.54,-1.34,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.261,91.93919059235016,126.61271580594526,-3.33,0.64,-1.14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.285,91.99391905923501,126.49327158059452,-3.76,-2.84,-0.58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.309,91.87339190592351,126.29232715805945,-5.02,-1.27,-1.03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.333,91.88833919059236,126.27223271580594,-5.99,0.55,-1.36,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.356,91.93483391905923,126.3422232715806,-5.22,0.53,-0.47,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.38,92.01148339190593,126.34022232715806,-3.62,-3.16,-1.26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.403,92.0821483391906,126.35802223271581,-4.4,-3.54,-1.45,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.427,92.13421483391906,126.38680222327159,-5.06,-1.3,-0.62,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.452,92.0944214833919,126.37168022232716,-5.21,-0.66,0.08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.475,92.1804421483392,126.34316802223272,-5.15,-1.78,-0.86,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.499,92.13504421483393,126.19631680222328,-5.66,-0.9,-2.44,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.522,92.20250442148338,126.07363168022233,-6.82,-2.36,-2.82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.547,92.29025044214833,125.70136316802223,-9.3,-3.53,-2.77,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.57,92.32602504421483,125.49313631680222,-13.31,-0.03,-1.56,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.594,92.34760250442147,125.09431363168022,-12.38,-1.1,-2.61,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.617,92.35876025044215,124.51443136316803,-14.94,-6.8,-4.26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.642,92.61187602504421,124.0064431363168,-17.18,-8.65,-3.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.666,92.94318760250442,123.25364431363168,-21.95,-8.43,-0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.689,92.63431876025044,122.25136443136317,-36.27,-6.65,1.15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.714,92.36043187602503,121.1881364431363,-46.31,-0.77,-0.38,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
