time,pitch,roll,gyrx,gyry,gyrz,f1,f2,f3,f4,f5,f6,f7,g1,g2,g3
0.352,62.39,11.46,0.0,0.0,-1.0,0,0,0,1,0,0,0,0.00,0.00,0.00,
0.365,71.012,13.376999999999999,0.0,0.0,-2.0,0,0,0,1,0,0,0,0.00,0.00,0.00,
0.378,79.5692,14.9817,0.0,0.0,-1.0,0,0,0,1,0,0,0,0.00,0.00,0.00,
0.392,87.03092,16.27617,-2.0,1.0,0.0,0,0,0,1,0,0,0,0.00,0.00,0.00,
0.405,93.150092,17.440617,-4.0,1.0,0.0,0,0,0,1,0,0,0,0.00,0.00,0.00,
0.418,98.73000919999998,18.3670617,-5.0,0.0,0.0,0,0,0,1,0,0,0,0.00,0.00,0.00,
0.432,103.27500092,19.36870617,-4.0,0.0,0.0,0,0,0,1,0,0,0,0.10,0.00,0.10,
0.445,106.852500092,20.332870617,-3.0,-2.0,-1.0,0,0,0,1,0,0,0,0.00,0.00,0.00,
0.459,109.91025000920001,21.104287061700003,-1.0,-1.0,-1.0,0,0,0,1,0,0,0,0.00,0.00,0.00,
0.473,112.76302500092001,21.631428706170002,-1.0,0.0,-1.0,0,0,0,1,0,0,0,0.00,0.00,0.00,
0.486,115.307302500092,22.062142870617002,-2.0,0.0,0.0,0,0,0,1,0,0,0,0.00,0.00,0.00,
0.499,117.4427302500092,22.3122142870617,-3.0,0.0,0.0,0,0,0,1,0,0,0,0.00,0.10,0.00,
0.513,119.13227302500091,22.49922142870617,-3.0,0.0,0.0,0,0,0,1,0,0,0,0.00,0.10,0.00,
0.527,120.6242273025001,22.688922142870616,-4.0,-1.0,0.0,0,0,0,1,0,0,0,0.20,0.10,0.00,
0.54,121.86242273025,22.96889221428706,-4.0,0.0,-1.0,0,0,0,1,0,0,0,0.00,0.00,0.00,
0.553,123.075242273025,23.140889221428708,-3.0,0.0,-1.0,0,0,0,1,0,0,0,0.00,0.00,0.00,
0.567,124.0965242273025,23.194088922142868,-3.0,0.0,-1.0,0,0,0,1,0,0,0,0.00,0.00,0.00,
0.58,124.68465242273025,23.37040889221429,-3.0,0.0,-1.0,0,0,0,1,0,0,0,0.00,0.10,0.00,
0.594,125.34646524227303,23.46004088922143,-3.0,-1.0,0.0,0,0,0,1,0,0,0,0.00,0.10,0.00,
0.608,125.97964652422729,23.460004088922144,-2.0,0.0,0.0,0,0,0,1,0,0,0,0.00,0.00,0.00,
0.621,126.39396465242274,23.451000408892213,-2.0,0.0,-1.0,0,0,0,1,0,0,0,0.00,0.00,0.00,
0.634,126.82239646524228,23.45010004088922,-3.0,-1.0,-1.0,0,0,0,1,0,0,0,0.00,0.00,0.00,
0.649,127.46823964652422,23.459010004088924,-3.0,-1.0,-1.0,0,0,0,1,0,0,0,0.00,0.10,0.00,
0.662,127.99182396465244,23.567901000408888,-3.0,0.0,-1.0,0,0,0,1,0,0,0,0.00,0.10,0.00,
0.675,128.17918239646525,23.866790100040888,-2.0,0.0,-2.0,0,0,0,1,0,0,0,0.10,0.00,0.00,
0.689,128.0809182396465,24.130679010004087,-1.0,0.0,-2.0,0,0,0,1,0,0,0,0.10,0.00,0.00,
0.702,128.02609182396466,24.19306790100041,0.0,0.0,-1.0,0,0,0,1,0,0,0,0.00,0.00,0.00,
0.716,127.92160918239647,24.21730679010004,0.0,1.0,-1.0,0,0,0,1,0,0,0,0.10,0.00,0.00,
